period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,symbol,signal_date,entry_price,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,AFYON,2026-03-05,15.12,2026-03-27 09:00:00,16.9,11.772486772486769,-2.911094409099213,14.683581181585982,True,2026-04-17 09:00:00,14.32,-5.29100529100528,11.537641076143078,-16.82864636714836,False,2026-05-08 09:00:00,13.71,-9.325396825396815,15.167295795604074,-24.49269262100089,False,65.0,1.527659483746234,1.5552624203495256,0.8333333333333306,3.4199726402188713,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,AGYO,2026-03-05,7.55,2026-03-27 09:00:00,7.93,5.033112582781452,-2.911094409099213,7.944206991880664,True,2026-04-17 09:00:00,8.6,13.907284768211925,11.537641076143078,2.3696436920688466,True,2026-05-08 09:00:00,9.68,28.211920529801326,15.167295795604074,13.044624734197251,True,40.0,1.6738157398090867,1.6524977671042533,0.7096774193548389,3.00136425648021,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,ATATP,2026-03-05,168.8,2026-03-27 09:00:00,145.3,-13.921800947867302,-2.911094409099213,-11.010706538768089,False,2026-04-17 09:00:00,148.0,-12.322274881516593,11.537641076143078,-23.859915957659673,False,2026-05-08 09:00:00,164.0,-2.8436018957346043,15.167295795604074,-18.010897691338677,False,80.0,2.1340340625670473,2.213967194942698,0.8581081081081086,8.622908622908621,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,AYGAZ,2026-03-05,251.5,2026-03-27 09:00:00,228.8,-9.025844930417492,-2.911094409099213,-6.114750521318278,False,2026-04-17 09:00:00,269.25,7.0576540755467265,11.537641076143078,-4.479987000596352,False,2026-05-08 09:00:00,287.0,14.11530815109343,15.167295795604074,-1.0519876445106444,False,65.0,1.7797617038409528,1.8182748555683375,0.9101796407185628,3.073770491803285,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,AZTEK,2026-03-05,4.44,2026-03-27 09:00:00,3.83,-13.738738738738743,-2.911094409099213,-10.82764432963953,False,2026-04-17 09:00:00,4.61,3.828828828828823,11.537641076143078,-7.708812247314255,False,2026-05-08 09:00:00,4.89,10.135135135135108,15.167295795604074,-5.032160660468966,False,55.0,1.5857790371616958,1.5447595158505445,0.8055555555555569,6.987951807228909,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,BIOEN,2026-03-05,16.7,2026-03-27 09:00:00,15.9,-4.79041916167664,-2.911094409099213,-1.879324752577427,False,2026-04-17 09:00:00,19.65,17.664670658682624,11.537641076143078,6.127029582539546,True,2026-05-08 09:00:00,20.42,22.27544910179642,15.167295795604074,7.108153306192344,True,80.0,4.741213415967268,4.432879922375655,0.9079754601226981,9.007832898172307,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,BMSTL,2026-03-05,71.15,2026-03-27 09:00:00,85.2,19.747013352073072,-2.911094409099213,22.658107761172285,True,2026-04-17 09:00:00,83.9,17.919887561489812,11.537641076143078,6.382246485346734,True,2026-05-08 09:00:00,79.8,12.157413914265614,15.167295795604074,-3.00988188133846,False,70.0,3.7091625562392383,2.906721276543545,0.7651515151515159,7.639939485627845,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,CUSAN,2026-03-05,23.86,2026-03-27 09:00:00,23.6,-1.0896898575020852,-2.911094409099213,1.8214045515971278,True,2026-04-17 09:00:00,26.32,10.310142497904451,11.537641076143078,-1.2274985782386274,False,2026-05-08 09:00:00,26.2,9.807208717518856,15.167295795604074,-5.360087078085218,False,53.0,2.2656399895530592,1.9426994837572675,0.7088607594936707,4.925241864555852,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,DOFER,2026-03-05,33.84,2026-03-27 09:00:00,35.0,3.4278959810874587,-2.911094409099213,6.338990390186671,True,2026-04-17 09:00:00,35.7,5.496453900709208,11.537641076143078,-6.04118717543387,False,2026-05-08 09:00:00,35.1,3.7234042553191404,15.167295795604074,-11.443891540284934,False,60.0,1.5806042219387235,1.5990699907090966,0.7697368421052645,7.156428119062719,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,DOGUB,2026-03-05,57.85,2026-03-27 09:00:00,82.2,42.091616248919614,-2.911094409099213,45.00271065801883,True,2026-04-17 09:00:00,125.8,117.45894554883316,11.537641076143078,105.92130447269008,True,2026-05-08 09:00:00,105.1,81.67675021607606,15.167295795604074,66.50945442047198,True,87.0,1.6478069039606367,2.3266753997867773,1.0,9.980988593155903,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,EDATA,2026-03-05,15.84,2026-03-27 09:00:00,15.08,-4.797979797979801,-2.911094409099213,-1.886885388880588,False,2026-04-17 09:00:00,24.7,55.934343434343425,11.537641076143078,44.39670235820034,True,2026-05-08 09:00:00,25.34,59.97474747474747,15.167295795604074,44.80745167914339,True,90.0,3.1070506934920337,4.426437116370264,0.7268907563025215,5.459387483355527,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,EYGYO,2026-03-05,4.04,2026-03-27 09:00:00,2.79,-30.940594059405946,-2.911094409099213,-28.029499650306732,False,2026-04-17 09:00:00,2.8,-30.6930693069307,11.537641076143078,-42.23071038307378,False,2026-05-08 09:00:00,3.04,-24.752475247524753,15.167295795604074,-39.919771043128826,False,50.0,1.6997655467537305,1.8908902212839034,0.6666666666666666,1.76322418136019,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,FONET,2026-03-05,4.65,2026-03-27 09:00:00,5.25,12.903225806451601,-2.911094409099213,15.814320215550815,True,2026-04-17 09:00:00,5.07,9.03225806451613,11.537641076143078,-2.5053830116269484,False,2026-05-08 09:00:00,6.0,29.032258064516125,15.167295795604074,13.86496226891205,True,95.0,2.000711599740347,2.636469442297983,1.0,9.92907801418439,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,IEYHO,2026-03-05,84.5,2026-03-27 09:00:00,91.8,8.639053254437856,-2.911094409099213,11.55014766353707,True,2026-04-17 09:00:00,98.1,16.094674556213008,11.537641076143078,4.557033480069929,True,2026-05-08 09:00:00,100.2,18.57988165680473,15.167295795604074,3.4125858612006557,True,55.0,2.6330076766627144,2.754855818330293,0.6111111111111089,0.5952380952380931,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,INTEM,2026-03-05,327.5,2026-03-27 09:00:00,266.0,-18.778625954198468,-2.911094409099213,-15.867531545099254,False,2026-04-17 09:00:00,297.5,-9.160305343511455,11.537641076143078,-20.697946419654535,False,2026-05-08 09:00:00,293.75,-10.305343511450381,15.167295795604074,-25.472639307054457,False,70.0,2.527538813670988,2.065848613252877,1.0,9.991603694374485,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,INVES,2026-03-05,320.0,2026-03-27 09:00:00,447.0,39.68750000000001,-2.911094409099213,42.59859440909922,True,2026-04-17 09:00:00,593.0,85.31249999999999,11.537641076143078,73.77485892385691,True,2026-05-08 09:00:00,573.0,79.06249999999999,15.167295795604074,63.89520420439591,True,90.0,2.9954668596246505,3.6692836162616578,0.8333333333333334,6.666666666666665,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,KLMSN,2026-03-05,34.04,2026-03-27 09:00:00,29.14,-14.394829612220917,-2.911094409099213,-11.483735203121704,False,2026-04-17 09:00:00,35.54,4.406580493537016,11.537641076143078,-7.131060582606063,False,2026-05-08 09:00:00,34.84,2.350176263219761,15.167295795604074,-12.817119532384314,False,80.0,2.0119041246051323,2.1489774114604376,0.8333333333333334,7.994923857868019,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,KORDS,2026-03-05,52.7,2026-03-27 09:00:00,56.75,7.685009487666039,-2.911094409099213,10.596103896765252,True,2026-04-17 09:00:00,65.0,23.33965844402277,11.537641076143078,11.802017367879692,True,2026-05-08 09:00:00,65.35,24.003795066413637,15.167295795604074,8.836499270809563,True,80.0,3.2400339873787396,3.1608169797834575,1.0,9.974958263772947,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,KRDMB,2026-03-05,38.92,2026-03-27 09:00:00,57.1,46.711202466598145,-2.911094409099213,49.62229687569736,True,2026-04-17 09:00:00,74.8,92.18910585817059,11.537641076143078,80.65146478202752,True,2026-05-08 09:00:00,92.4,137.41007194244602,15.167295795604074,122.24277614684195,True,77.0,1.986691676431225,2.225499445324446,0.9666666666666673,5.018888289260648,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,KRONT,2026-03-05,17.01,2026-03-27 09:00:00,19.97,17.401528512639608,-2.911094409099213,20.31262292173882,True,2026-04-17 09:00:00,21.0,23.456790123456784,11.537641076143078,11.919149047313706,True,2026-05-08 09:00:00,21.76,27.92475014697238,15.167295795604074,12.757454351368304,True,85.0,2.671591732660435,2.8807619297029734,0.9935064935064948,9.883720930232576,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,KRPLS,2026-03-05,8.3,2026-03-27 09:00:00,8.32,0.24096385542167198,-2.911094409099213,3.152058264520885,True,2026-04-17 09:00:00,9.23,11.204819277108435,11.537641076143078,-0.3328217990346438,False,2026-05-08 09:00:00,9.77,17.710843373493958,15.167295795604074,2.5435475778898837,True,75.0,5.157844330757746,4.950846810870539,0.6764705882352956,7.096774193548394,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,KUVVA,2026-03-05,121.0,2026-03-27 09:00:00,130.4,7.768595041322324,-2.911094409099213,10.679689450421536,True,2026-04-17 09:00:00,124.5,2.892561983471076,11.537641076143078,-8.645079092672002,False,2026-05-08 09:00:00,152.7,26.198347107438003,15.167295795604074,11.031051311833929,True,100.0,11.70873567044172,12.767348993876015,1.0,10.000000000000009,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,LYDHO,2026-03-05,207.4,2026-03-27 09:00:00,187.6,-9.546769527483134,-2.911094409099213,-6.63567511838392,False,2026-04-17 09:00:00,200.0,-3.567984570877536,11.537641076143078,-15.105625647020615,False,2026-05-08 09:00:00,200.4,-3.375120540019283,15.167295795604074,-18.542416335623358,False,45.0,1.8133969216739456,1.8912880258970768,0.6025641025641039,1.8163966617575023,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,PETKM,2026-03-05,19.38,2026-03-27 09:00:00,19.2,-0.9287925696594423,-2.911094409099213,1.9823018394397707,True,2026-04-17 09:00:00,21.98,13.415892672858632,11.537641076143078,1.878251596715554,True,2026-05-08 09:00:00,24.72,27.554179566563477,15.167295795604074,12.386883770959402,True,60.0,1.719287172802893,1.8064349651987548,0.6634615384615368,3.80289234065343,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,SAMAT,2026-03-05,5.73,2026-03-27 09:00:00,5.32,-7.155322862129143,-2.911094409099213,-4.24422845302993,False,2026-04-17 09:00:00,5.5,-4.013961605584648,11.537641076143078,-15.551602681727726,False,2026-05-08 09:00:00,5.94,3.664921465968596,15.167295795604074,-11.50237432963548,False,50.0,2.1780729767007143,2.05936043224099,0.6086956521739136,2.6881720430107503,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,SKTAS,2026-03-05,3.42,2026-03-27 09:00:00,2.84,-16.959064327485386,-2.911094409099213,-14.047969918386173,False,2026-04-17 09:00:00,3.38,-1.1695906432748537,11.537641076143078,-12.707231719417932,False,2026-05-08 09:00:00,4.16,21.63742690058481,15.167295795604074,6.4701311049807355,True,80.0,3.2864638067340617,3.017575277542772,0.9117647058823523,8.917197452229297,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TKNSA,2026-03-05,23.98,2026-03-27 09:00:00,20.04,-16.4303586321935,-2.911094409099213,-13.519264223094286,False,2026-04-17 09:00:00,24.2,0.917431192660545,11.537641076143078,-10.620209883482534,False,2026-05-08 09:00:00,22.84,-4.75396163469558,15.167295795604074,-19.921257430299654,False,65.0,2.212257697011164,2.294206224007141,0.6947368421052639,4.807692307692313,,True,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TRCAS,2026-03-05,46.74,2026-03-27 09:00:00,39.4,-15.703893881044085,-2.911094409099213,-12.792799471944871,False,2026-04-17 09:00:00,46.76,0.042789901583217826,11.537641076143078,-11.49485117455986,False,2026-05-08 09:00:00,50.25,7.509627727856216,15.167295795604074,-7.657668067747858,False,55.0,2.8140265014295522,2.658790870348577,0.8571428571428584,1.8300653594771399,,False,False
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TRHOL,2026-03-05,819.0,2026-03-27 09:00:00,975.0,19.047619047619047,-2.911094409099213,21.95871345671826,True,2026-04-17 09:00:00,1175.0,43.46764346764347,11.537641076143078,31.93000239150039,True,2026-05-08 09:00:00,1400.0,70.94017094017093,15.167295795604074,55.772875144566854,True,90.0,3.0857113284635136,3.3652993479120688,0.9,6.294613887086298,,True,True
2026-03-01,2026-04-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,VKING,2026-03-05,29.52,2026-03-27 09:00:00,23.5,-20.392953929539292,-2.911094409099213,-17.48185952044008,False,2026-04-17 09:00:00,27.5,-6.842818428184283,11.537641076143078,-18.380459504327362,False,2026-05-08 09:00:00,28.24,-4.336043360433606,15.167295795604074,-19.50333915603768,False,37.0,1.5607936594718583,1.4609596772055278,0.6097560975609754,5.958363244795417,,False,False
