strategy,period_count,active_period_count,empty_period_count,total_signal_count,total_unique_symbol_count,avg_basket_return_15d,avg_basket_return_30d,avg_basket_return_to_current,median_basket_return_15d,median_basket_return_30d,median_basket_return_to_current,avg_basket_alpha_15d,avg_basket_alpha_30d,avg_basket_alpha_to_current,median_basket_alpha_15d,median_basket_alpha_30d,median_basket_alpha_to_current,positive_period_rate_15d,positive_period_rate_30d,positive_period_rate_to_current,beat_period_rate_15d,beat_period_rate_30d,beat_period_rate_to_current,best_period_to_current,worst_period_to_current,consistency_score,outlier_period_count,low_sample_period_count
positive_interest,17,3,14,814,814,6.881846157530347,14.454278405201338,11.204901417048044,6.881846157530347,14.454278405201338,10.466035100546383,1.3647208461575089,2.8705928919194665,2.543155805709917,1.3647208461575089,2.8705928919194665,2.273551329223203,1.0,1.0,1.0,1.0,1.0,1.0,2026-03-01,2026-05-01,100.00000000000001,0,14
positive_money_flow,17,3,14,430,430,6.500837600228624,11.648648880767164,10.176643581628346,6.500837600228624,11.648648880767164,8.934919718096554,0.18794925086958614,-0.5682917475164118,1.5036598649703834,0.18794925086958614,-0.5682917475164118,1.0196386099107184,1.0,1.0,1.0,0.5,0.0,1.0,2026-03-01,2026-05-01,75.0,0,14
silent_accumulation,17,3,14,135,135,4.590142523114201,11.978364875639468,9.568117707265166,4.590142523114201,11.978364875639468,5.18037745945705,-1.8924560873198402,0.32373784447030296,1.1395915416878006,-1.8924560873198402,0.32373784447030296,1.4983205993833364,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,2026-03-01,2026-05-01,86.11111111111111,0,14
strong_momentum,17,3,14,210,210,6.597147130559574,10.664322737338779,10.870165401843188,6.597147130559574,10.664322737338779,12.531027774959837,0.3175557358494514,-1.3547342876659823,1.9716339131577767,0.3175557358494514,-1.3547342876659823,1.5686989760571342,1.0,1.0,1.0,0.5,0.0,1.0,2026-03-01,2026-05-01,75.0,0,14
volume_spike_strict,17,3,14,717,717,6.340568804444326,15.422001632992158,11.644851431207227,6.340568804444326,15.422001632992158,11.309921257802479,0.4307244887076138,3.5842548845509423,2.794860425189629,0.4307244887076138,3.5842548845509423,2.8286916172690795,1.0,1.0,1.0,0.5,1.0,1.0,2026-03-01,2026-05-01,91.66666666666667,0,14
