period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,basket_mode,quality_filter_enabled,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,signal_count,unique_symbol_count,basket_return_15d,basket_return_30d,benchmark_return_15d,benchmark_return_30d,basket_alpha_15d,basket_alpha_30d,basket_return_to_current,benchmark_return_to_current,basket_alpha_to_current,avg_return_15d,avg_return_30d,avg_return_to_current,median_return_15d,median_return_30d,median_return_to_current,trimmed_mean_return_15d,trimmed_mean_return_30d,trimmed_mean_return_to_current,avg_alpha_15d,avg_alpha_30d,avg_alpha_to_current,median_alpha_15d,median_alpha_30d,median_alpha_to_current,trimmed_mean_alpha_15d,trimmed_mean_alpha_30d,trimmed_mean_alpha_to_current,positive_rate_15d,positive_rate_30d,positive_rate_to_current,beat_rate_15d,beat_rate_30d,beat_rate_to_current,valid_return_15d_count,valid_return_30d_count,valid_return_to_current_count,best_symbol_15d,best_return_15d,worst_symbol_15d,worst_return_15d,best_symbol_30d,best_return_30d,worst_symbol_30d,worst_return_30d,best_symbol_to_current,best_return_to_current,worst_symbol_to_current,worst_return_to_current,top_1_contribution_30d_pct,top_3_contribution_30d_pct,top_1_contribution_to_current_pct,top_3_contribution_to_current_pct,outlier_warning,low_sample_warning
2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,99,99,7.334332883113592,12.670135373228298,3.1376901379495385,5.550493393839119,4.196642745164054,7.119641979389179,272.94174978095947,65.56583524692962,207.37591453402985,7.334332883113592,12.670135373228298,272.94174978095947,3.147042847053072,0.9990912823089504,34.228187919463096,4.2545548698454745,5.570365501472603,53.791325013324915,4.196642745164053,7.119641979389176,207.3759145340299,0.19416283767158582,-0.6230300902879904,-21.60662313561987,0.9944660777389593,0.2942834194215826,-9.80183497430976,0.5959595959595959,0.5151515151515151,0.7373737373737373,0.5454545454545454,0.48484848484848486,0.41414141414141414,99,99,99,SMRVA,162.71186440677963,SAFKR,-23.08673628972685,SMRVA,462.03389830508473,SAYAS,-22.652328315412184,TERA,9337.58573388203,POLTK,-72.84482758620689,36.83472146359239,53.48140665024007,34.5564751060191,73.61982105552694,True,False
2024-02-01,2026-05-08,2026-05-08,XUTUM,XU100,42,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,558,225,333,40,40,0.9715640283311039,3.9399361760552063,2.005828955726668,2.5102563863967142,-1.0342649273955642,1.429679789658492,24.55553770911009,53.20535269514694,-28.64981498603685,0.9715640283311039,3.9399361760552063,24.55553770911009,0.6210055673964932,0.1935451612903316,7.417329598399613,0.8434665900271473,2.3603335367974774,12.841752920849654,-1.0342649273955646,1.4296797896584923,-28.64981498603685,-2.8424155177499735,-1.4276541336168975,-38.83186327126184,-0.9246518336242155,0.5987953137387724,-39.81624112968143,0.525,0.5128205128205128,0.525,0.45,0.4358974358974359,0.25,40,39,40,VSNMD,33.53951890034364,VRGYO,-43.35222672064778,YAYLA,78.343949044586,VRGYO,-52.09716599190284,YGGYO,348.9795751770102,VRGYO,-83.93522267206478,50.98608496452173,114.57484682380088,35.529620579998436,75.4103714270973,False,False
2024-03-01,2026-05-08,2026-05-08,XUTUM,XU100,100,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1319,546,773,99,99,-0.5761223812923868,3.8265885362073706,0.3242707111906809,1.4414118825703892,-0.9003930924830676,2.3851766536369814,250.973517348537,51.554135638820746,199.41938170971625,-0.5761223812923868,3.8265885362073706,250.973517348537,-5.1051051051051015,-4.743083003952564,31.80952380952382,-3.5496613972294013,-2.859448461964742,44.70463315596488,-0.9003930924830673,2.385176653636981,199.41938170971642,-3.7490382458799987,-3.517730875800451,-21.093014256050946,-3.6829155863203895,-3.6285465015158582,-6.256961616065648,0.32323232323232326,0.32323232323232326,0.7676767676767676,0.35353535353535354,0.3939393939393939,0.42424242424242425,99,99,99,SMRVA,162.71186440677963,SKYLP,-21.294717206132884,SMRVA,462.03389830508473,PLTUR,-25.528842573502043,TERA,9337.58573388203,REEDR,-78.51284972592401,121.96265758989406,155.92479265510624,37.58127503389353,77.40213803156531,False,False
2024-04-01,2026-05-08,2026-05-08,XUTUM,XU100,42,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,525,210,315,40,40,1.4991126388641658,1.913681675515461,2.656242591441218,2.020890450643582,-1.1571299525770522,-0.10720877512812099,21.485641695751987,47.68139347477157,-26.19575177901958,1.4991126388641658,1.913681675515461,21.485641695751987,0.29560995379768196,-4.476418864908083,3.55073326872406,0.6116663711702646,-1.7272585615642835,8.094264462817874,-1.1571299525770526,-0.1072087751281215,-26.195751779019577,-3.3422567078298995,-5.206230793658772,-37.3237490552822,-2.076331946078579,-3.3491940215548013,-38.9617003723223,0.55,0.38461538461538464,0.55,0.425,0.3333333333333333,0.225,40,39,40,USAK,43.85651154641679,ZERGY,-22.839506172839506,USAK,122.24216200748526,YAYLA,-32.979566313696296,YGGYO,348.9795751770102,VSNMD,-75.05154639175258,163.78974886740593,285.1288341178485,40.60613828978731,86.18510191400061,True,False
2024-05-01,2026-05-08,2026-05-08,XUTUM,XU100,67,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,772,312,460,65,65,-3.7120484081222735,-2.9387978608907606,-0.44860830773379984,-1.6517023819386203,-3.2634401003884737,-1.2870954789521403,153.11582079477108,45.95586351879914,107.15995727597195,-3.7120484081222735,-2.9387978608907606,153.11582079477108,-5.17241357211452,-6.009102501777852,7.690168314978951,-5.020501137981238,-5.619801445829311,22.549682610971338,-3.2634401003884737,-1.2870954789521405,107.15995727597192,-4.820031592050178,-3.469545497935023,-34.71966162885776,-4.401585978367346,-3.775704810990535,-22.908897869901157,0.27692307692307694,0.265625,0.6,0.27692307692307694,0.3125,0.3076923076923077,65,64,65,USAK,43.85651154641679,ZERGY,-22.839506172839506,USAK,122.24216200748526,YESIL,-31.86839268599151,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,-64.99371075450622,-107.65301946369803,78.82938064940195,86.34081902030042,True,False
2024-06-01,2026-05-08,2026-05-08,XUTUM,XU100,67,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,745,299,446,65,65,-3.903035442420063,-3.070261847339497,-1.3000173035137563,-3.080457481748815,-2.6030181389063065,0.010195634409317922,154.59495066383073,46.379321741670196,108.21562892216053,-3.903035442420063,-3.070261847339497,154.59495066383073,-5.17241357211452,-8.30831582811566,11.00000000000001,-5.205065462580086,-5.911105025124452,23.80453265068149,-2.603018138906307,0.010195634409318144,108.21562892216049,-3.7490382458799987,-3.1401425779622016,-32.35673653364243,-3.6643792293656667,-2.723220393855468,-22.413365744584905,0.26153846153846155,0.296875,0.6153846153846154,0.3230769230769231,0.34375,0.3076923076923077,65,64,65,USAK,43.85651154641679,ZERGY,-22.839506172839506,USAK,122.24216200748526,YESIL,-31.86839268599151,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,-62.21077798371096,-103.18835022758641,78.0751587878384,85.5147293984621,True,False
2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,67,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,728,291,437,65,65,-3.4228171207849107,-4.823156873509914,-2.0507587721602394,-3.376671767667151,-1.3720583486246714,-1.446485105842763,155.4084296464546,46.53301098862561,108.87541865782899,-3.4228171207849107,-4.823156873509914,155.4084296464546,-5.463182897862229,-8.30831582811566,10.048622366288495,-4.9790951828132854,-6.1786873523384065,24.767567133600522,-1.3720583486246725,-1.446485105842763,108.87541865782897,-2.813822725592786,-3.469545497935023,-33.343590976184444,-2.5557175920741,-2.765037633845448,-21.464677542848424,0.27692307692307694,0.265625,0.6153846153846154,0.36923076923076925,0.359375,0.3076923076923077,65,64,65,YAYLA,49.48524365133837,ZERGY,-22.839506172839506,VSNMD,62.06185567010309,YESIL,-31.86839268599151,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,-20.105431365322303,-37.49130831993643,77.66647760572096,85.06710609238614,True,False
2024-08-01,2026-05-08,2026-05-08,XUTUM,XU100,67,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,690,267,423,65,65,-0.4826710629421893,0.2418334287151479,0.2199288113168074,1.0856601585604373,-0.7025998742589967,-0.8438267298452894,154.06294303979672,52.5881021630649,101.47484087673182,-0.4826710629421893,0.2418334287151479,154.06294303979672,-3.996865203761757,-2.9750593824228124,13.448844884488453,-2.3387527732306386,-1.5025093692030778,25.466826667498403,-0.7025998742589971,-0.8438267298452896,101.47484087673179,-3.9168377170860635,-2.6790216029939087,-36.138950578945675,-2.5280272309706566,-2.4426741895802704,-26.25437726310913,0.35384615384615387,0.421875,0.6307692307692307,0.3384615384615385,0.375,0.26153846153846155,65,64,65,YAYLA,49.48524365133837,ZERGY,-22.839506172839506,VSNMD,62.06185567010309,TRILC,-21.142430304358896,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,400.98529801997546,903.2234438425581,78.34476664358387,84.61443345934086,True,False
2024-09-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,3269,1185,2084,433,433,3.7161219936548733,10.021990842589817,2.2453669597197132,5.135103418121016,1.47075503393516,4.886887424468801,90.68366999910222,46.76241877542159,43.921251223680635,3.7161219936548733,10.021990842589817,90.68366999910222,-2.5580092667468026,-0.1466275659824101,23.22752765546998,-0.2677865951052579,2.639823474786777,33.75930318906176,1.4707550339351603,4.886887424468801,43.921251223680635,-4.423274812732636,-2.762964776948013,-18.38010394150271,-2.063370045721106,-1.8252957192186112,-11.520195306900892,0.43316831683168316,0.49731182795698925,0.7344110854503464,0.38613861386138615,0.4166666666666667,0.3418013856812933,404,372,433,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,12.393012804091184,26.771898234353266,19.98041726263947,34.96937987530413,True,False
2024-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,3133,1140,1993,430,430,3.969427694762553,11.181738084203152,3.1235942593223727,6.639703359529843,0.8458334354401802,4.542034724673309,86.60564897856335,46.875272101926505,39.730376876636846,3.969427694762553,11.181738084203152,86.60564897856335,-1.6083254493850507,0.8648633413264717,23.337582178059368,0.09982097420501265,3.872950973724482,33.01961534360705,0.8458334354401806,4.542034724673309,39.73037687663681,-4.249413956172365,-3.6166414221044714,-18.64404128293012,-2.5904457217129404,-1.988919875322659,-12.202004549955978,0.4463840399002494,0.5190217391304348,0.7372093023255814,0.3740648379052369,0.40217391304347827,0.3325581395348837,401,368,430,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,11.228369758918728,24.25598821492592,21.0672021145747,36.87145188063265,True,False
