period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,quality_filter_enabled,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,symbol,signal_date,entry_price,entry_price,exit_date_15d,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,turnover,avg_turnover_20d,ma20,rsi_14,return_5d_pct,return_10d_pct,filter_passed,filter_reasons,failed_reasons,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,RYGYO,2025-10-01,21.94,21.94,2025-10-22,2025-10-22,20.1,-8.386508659981773,-5.961380436390728,-2.425128223591045,False,2025-11-13,2025-11-13,21.16,-3.555150410209673,-5.2725347631329855,1.7173843529233124,True,2026-05-08,31.9,45.39653600729261,34.2455852024292,11.150950804863413,True,298332879.8,103856506.96300001,20.346,69.23990498812353,8.937437934458803,2.8116213683224034,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,75.0,2.6541945255196904,2.8725487552386513,1.0,9.974937343358414,,True,False
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,RTALB,2025-10-02,4.11,4.11,2025-10-23,2025-10-23,3.65,-11.19221411192215,-4.280301697340782,-6.9119124145813675,False,2025-11-14,2025-11-14,3.83,-6.812652068126523,-4.663965141848092,-2.1486869262784314,False,2026-05-08,4.0,-2.676399026763998,35.91223382897382,-38.58863285573781,False,1330922722.8000002,204160251.49350002,3.7114999999999996,69.94535519125684,10.78167115902966,12.91208791208791,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,85.0,5.92595555811672,6.519010008382428,0.7,6.7532467532467555,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,OZATD,2025-10-03,240.8,240.8,2025-10-24,2025-10-24,223.1,-7.3504983388704375,0.7668632557659816,-8.117361594636419,False,2025-11-17,2025-11-17,183.0,-24.00332225913622,-1.4770889587162994,-22.526233300419918,False,2026-05-08,600.5,149.37707641196013,38.71733901120962,110.65973740075052,True,201676260.8,62426995.31500001,227.96999999999997,62.837837837837846,5.8461538461538565,4.33275563258233,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,95.0,3.0621638351213982,3.2305937484635123,0.9014778325123153,6.360424028268552,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,OZYSR,2025-10-06,8.36583894,8.36583894,2025-10-27,2025-10-27,8.59998487,2.7988338250269917,1.1044381534196512,1.6943956716073405,True,2025-11-18,2025-11-18,10.76095668,28.629737641112186,-0.05840778695970217,28.688145428071888,True,2026-05-08,12.86,53.72038706736086,40.31515984823288,13.40522721912798,True,104009845.06270197,44946841.79579209,7.929742148499999,60.689655148038014,8.958068644037365,4.445797749233615,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,85.0,2.19047237913422,2.314063478258429,0.9436619734576509,5.2793123682346454,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,TKNSA,2025-10-06,26.5,26.5,2025-10-27,2025-10-27,24.48,-7.622641509433958,1.1044381534196512,-8.727079662853608,False,2025-11-18,2025-11-18,25.9,-2.264150943396237,-0.05840778695970217,-2.205743156436535,False,2026-05-08,22.84,-13.811320754716983,40.31515984823288,-54.12648060294986,False,944085237.0,72339473.564,25.919,45.247148288973385,3.840125391849525,-0.6746626686656709,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,12.762784051980484,13.050761783119023,0.605095541401274,5.075337034099925,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,VAKKO,2025-10-06,62.8,62.8,2025-10-27,2025-10-27,69.0,9.872611464968163,1.1044381534196512,8.768173311548512,True,2025-11-18,2025-11-18,58.3,-7.165605095541405,-0.05840778695970217,-7.1071973085817035,False,2026-05-08,83.25,32.56369426751593,40.31515984823288,-7.751465580716953,False,159419370.0,28620783.18,59.9625,53.781512605042,8.744588744588743,2.614379084967311,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,5.3203133473369615,5.570056172026806,0.644628099173553,6.260575296108284,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,MOBTL,2025-10-06,7.74,7.74,2025-11-14,2025-11-14,7.15,-7.622739018087854,-1.5755197780690455,-6.0472192400188085,False,2025-12-24,2025-12-24,8.23,6.330749354005172,5.6379816430008,0.6927677110043717,True,2026-05-08,13.1,69.25064599483204,40.31515984823288,28.93548614659916,True,185713041.42000002,84716039.345,7.564,43.488372093023244,4.0322580645161255,3.475935828876997,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,75.0,2.1789114114024803,2.1921827655763857,0.7222222222222222,11.527377521613836,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,PKART,2025-10-08,86.75,86.75,2025-10-30,2025-10-30,79.5,-8.35734870317003,0.7533280588903013,-9.110676762060333,False,2025-11-20,2025-11-20,74.0,-14.69740634005764,2.0774859686489844,-16.774892308706626,False,2026-05-08,153.4,76.82997118155622,40.03599760883652,36.7939735727197,True,122867061.25,41717299.769999996,85.54499999999999,47.046413502109694,5.151515151515151,-0.5730659025787954,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,75.0,2.9223348306756898,2.945230442224281,0.8454545454545465,3.458556946929048,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,SMRVA,2025-10-09,60.57128,60.57128,2025-10-31,2025-10-31,62.73454,3.571428571428581,2.2796723775004857,1.2917561939280953,True,2025-11-21,2025-11-21,83.727995,38.2305194805195,1.8260498294953464,36.40446965102415,True,2026-05-08,19.22,-68.26879009325873,40.41836565370682,-108.68715574696554,False,2112759879.9999998,577155035.265,54.24276120000002,64.84375,4.584040747028872,2.923976608187151,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,95.0,3.108601943027461,3.6606453221532216,1.0,10.000000000000009,,True,True
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,TABGD,2025-10-09,240.6,240.6,2025-10-31,2025-10-31,237.7,-1.2053200332502123,2.2796723775004857,-3.484992410750698,False,2025-11-21,2025-11-21,237.9,-1.122194513715702,1.8260498294953464,-2.9482443432110483,False,2026-05-08,280.0,16.375727348295932,40.41836565370682,-24.04263830541089,False,599402449.1999999,202402445.74499997,231.10500000000002,60.3125,3.439380911435941,1.9491525423728895,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,2.7992717323929472,2.961438766185498,0.8297872340425527,5.157342657342645,,True,True
