period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,quality_filter_enabled,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,symbol,signal_date,entry_price,entry_price,exit_date_15d,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,turnover,avg_turnover_20d,ma20,rsi_14,return_5d_pct,return_10d_pct,filter_passed,filter_reasons,failed_reasons,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,PAPIL,2026-03-02,20.48,20.48,2026-03-24,2026-03-24,15.4,-24.8046875,-3.118961400164688,-21.68572609983531,False,2026-04-14,2026-04-14,16.12,-21.2890625,6.412276541367246,-27.701339041367245,False,2026-05-08,17.06,-16.69921875000001,12.859019228362945,-29.558237978362953,False,1706846433.28,384941151.3765,18.979000000000003,69.57983193277313,6.777893639207511,3.4343434343434343,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,85.0,4.140519615144028,4.434045118783837,0.6712328767123287,7.450157397691504,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,VERUS,2026-03-02,264.75,264.75,2026-03-24,2026-03-24,410.0,54.86307837582625,-3.118961400164688,57.982039775990934,True,2026-04-14,2026-04-14,503.5,90.17941454202077,6.412276541367246,83.76713800065352,True,2026-05-08,516.0,94.90084985835693,12.859019228362945,82.041830629994,True,69258070.5,29674237.6125,257.70750000000004,50.73529411764706,7.621951219512191,-0.09433962264151496,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,75.0,2.289383428272876,2.3339460782246237,1.0,9.946013289036548,,True,False
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,INVES,2026-03-03,279.75,279.75,,,,,,,,,,,,,,,2026-05-08,573.0,104.82573726541555,16.46318833408076,88.3625489313348,True,163950285.0,64026119.7,270.1925,49.37965260545906,5.36723163841808,-14.775323686214781,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,75.0,2.4270630408566243,2.560678138362959,1.0,20.633893919793,,True,False
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,MOPAS,2026-03-04,62.75,62.75,2026-04-30,2026-04-30,39.5,-37.05179282868526,11.584238506890498,-48.63603133557576,False,,,,,,,,2026-05-08,41.1,-34.50199203187251,16.375097638217472,-50.87708967008999,False,919314231.5,326830872.8865,53.1245,68.38905775075987,18.173258003766477,10.087719298245613,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,95.0,2.303994271540381,2.8128133165046934,1.0,9.99123575810692,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,TRHOL,2026-03-05,819.0,819.0,2026-03-27,2026-03-27,975.0,19.047619047619047,-2.911094409099213,21.95871345671826,True,2026-04-17,2026-04-17,1175.0,43.46764346764347,11.537641076143078,31.93000239150039,True,2026-05-08,1400.0,70.94017094017093,15.167295795604074,55.772875144566854,True,507862719.0,150911602.95,762.75,62.73653566229986,0.9864364981504226,8.909574468085113,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,90.0,3.0857113284635136,3.3652993479120688,0.9,6.294613887086298,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,TCKRC,2026-03-09,94.0,94.0,2026-03-31,2026-03-31,86.85,-7.606382978723413,0.7005196032120908,-8.306902581935503,False,2026-04-21,2026-04-21,104.9,11.595744680851073,13.174303259329246,-1.578558578478173,False,2026-05-08,111.7,18.829787234042563,18.584868524641784,0.2449187094007783,True,386969988.0,159358186.8775,88.81,54.16666666666668,10.588235294117654,4.969290898939138,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,2.3002280921987204,2.428303155190057,1.0,6.515580736543902,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,ULUUN,2026-03-09,8.07,8.07,2026-03-31,2026-03-31,7.57,-6.1957868649318515,0.7005196032120908,-6.896306468143942,False,2026-04-21,2026-04-21,8.0,-0.867410161090465,13.174303259329246,-14.041713420419711,False,2026-05-08,9.49,17.59603469640645,18.584868524641784,-0.9888338282353359,False,109469098.08,35816035.431499995,7.334999999999999,56.15942028985507,17.638483965014572,8.760107816711592,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,95.0,2.7861419091347566,3.056427009889614,1.0,9.945504087193457,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,OZSUB,2026-03-10,21.52,21.52,2026-04-01,2026-04-01,21.18,-1.5799256505576231,-1.8053634938151375,0.22543784325751437,True,2026-04-22,2026-04-22,23.7,10.130111524163565,8.802162155598081,1.3279493685654842,True,2026-05-08,29.36,36.431226765799266,14.321093160611852,22.110133605187414,True,341641341.04,50822107.779,19.884,52.90178571428571,19.22437673130193,11.444847229414812,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,90.0,6.255211896100025,6.722297755253045,1.0,9.908069458631275,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,PRDGS,2026-03-10,7.46,7.46,2026-04-01,2026-04-01,7.19,-3.6193029490616535,-1.8053634938151375,-1.813939455246516,False,2026-04-22,2026-04-22,8.66,16.08579088471851,8.802162155598081,7.283628729120428,True,2026-05-08,9.28,24.39678284182305,14.321093160611852,10.075689681211198,True,148154145.3,68714546.892,7.097500000000001,47.86729857819906,15.123456790123457,-4.358974358974354,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,2.0703449015807163,2.156081237541401,1.0,9.867452135493382,,True,True
2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,TMPOL,2026-03-10,591.0,591.0,2026-04-01,2026-04-01,562.5,-4.822335025380708,-1.8053634938151375,-3.0169715315655705,False,2026-04-22,2026-04-22,670.0,13.367174280879857,8.802162155598081,4.5650121252817755,True,2026-05-08,355.75,-39.80541455160744,14.321093160611852,-54.12650771221929,False,2352535191.0,132369035.05,472.075,77.24077328646749,25.744680851063826,20.920716112531967,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,95.0,13.901736546687415,17.77254922279499,0.9758064516129032,9.647495361781067,,True,True
