period_start,symbol,status,baseline_signal,passed_quality_filter,filter_reasons,failed_reasons,return_15d,return_30d,return_to_current,benchmark_return_to_current,elapsed_seconds,error_message,updated_at
2025-02-01,A1CAP,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,36.94466095089635,,-10.054559625876855,30.99801885135125,0.001,,2026-05-25T13:22:09.511765Z
2025-02-01,A1YEN,no_signal,0,0,,,,,,,0.001,,2026-05-25T13:22:09.511964Z
2025-02-01,AAGYO,no_signal,0,0,,,,,,,0.001,,2026-05-25T13:22:09.512134Z
2025-02-01,ACSEL,no_signal,0,0,,,,,,,0.001,,2026-05-25T13:22:09.512298Z
2025-02-01,ADEL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.828043854587439,,28.793998845931924,37.90023858220282,0.002,,2026-05-25T13:22:09.513049Z
2025-02-01,ADESE,no_signal,0,0,,,,,,,0.002,,2026-05-25T13:22:09.513228Z
2025-02-01,ADGYO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.4461942257218,46.98162729658792,103.41207349081364,55.9391923439666,0.003,,2026-05-25T13:22:09.513960Z
2025-02-01,AEFES,no_signal,0,0,,,,,,,0.003,,2026-05-25T13:22:09.514133Z
2025-02-01,AFYON,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.881118881118887,3.076923076923066,-4.125874125874129,32.449990459299016,0.004,,2026-05-25T13:22:09.514859Z
2025-02-01,AGESA,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-3.822222222222216,,10.22222222222222,18.158078049056,0.005,,2026-05-25T13:22:09.515568Z
2025-02-01,AGHOL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-21.07728337236534,-20.187353629976577,9.47697111631538,42.365594040222064,0.005,,2026-05-25T13:22:09.516289Z
2025-02-01,AGROT,no_signal,0,0,,,,,,,0.006,,2026-05-25T13:22:09.516463Z
2025-02-01,AGYO,no_signal,0,0,,,,,,,0.006,,2026-05-25T13:22:09.516622Z
2025-02-01,AHGAZ,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,8.54460093896714,35.2112676056338,31.643192488262905,44.52411381814274,0.006,,2026-05-25T13:22:09.517337Z
2025-02-01,AHSGY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,154.24107142857144,263.3932205360777,270.99144242001387,41.53167459079548,0.007,,2026-05-25T13:22:09.518055Z
2025-02-01,AKBNK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,9.702062643239096,40.10695187165776,14.973262032085554,36.92994529220217,0.008,,2026-05-25T13:22:09.518773Z
2025-02-01,AKCNS,no_signal,0,0,,,,,,,0.008,,2026-05-25T13:22:09.518948Z
2025-02-01,AKENR,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-7.164634146341465,-21.49390243902438,-8.384146341463417,60.40289611533345,0.009,,2026-05-25T13:22:09.519650Z
2025-02-01,AKFGY,no_signal,0,0,,,,,,,0.009,,2026-05-25T13:22:09.519838Z
2025-02-01,AKFIS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,99.71367215461702,5.044527975563673,0.01,,2026-05-25T13:22:09.520524Z
2025-02-01,AKFYE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,7.785032646911105,,18.03114013058764,9.173054510242771,0.01,,2026-05-25T13:22:09.521230Z
2025-02-01,AKGRT,no_signal,0,0,,,,,,,0.011,,2026-05-25T13:22:09.521402Z
2025-02-01,AKHAN,no_signal,0,0,,,,,,,0.011,,2026-05-25T13:22:09.521559Z
2025-02-01,AKMGY,no_signal,0,0,,,,,,,0.011,,2026-05-25T13:22:09.521736Z
2025-02-01,AKSA,no_signal,0,0,,,,,,,0.011,,2026-05-25T13:22:09.521892Z
2025-02-01,AKSEN,no_signal,0,0,,,,,,,0.019,,2026-05-25T13:22:09.530246Z
2025-02-01,AKSGY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-9.38375350140056,2.3809523809523725,31.23249299719888,42.365594040222064,0.02,,2026-05-25T13:22:09.531103Z
2025-02-01,AKSUE,no_signal,0,0,,,,,,,0.02,,2026-05-25T13:22:09.531298Z
2025-02-01,AKYHO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-11.714285714285722,-4.285714285714281,-20.000000000000007,55.94871784252986,0.021,,2026-05-25T13:22:09.532062Z
2025-02-01,ALARK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-24.925521350546187,-17.328699106256206,-1.5392254220456758,55.936447924733,0.022,,2026-05-25T13:22:09.532831Z
2025-02-01,ALBRK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.257142857142871,,2.2857142857142687,12.345458939215836,0.023,,2026-05-25T13:22:09.533545Z
2025-02-01,ALCAR,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-23.19148936170212,,-14.04255319148936,18.158078049056,0.025,,2026-05-25T13:22:09.535553Z
2025-02-01,ALCTL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-10.166666666666668,12.83333333333334,8.333333333333325,32.491349115736234,0.026,,2026-05-25T13:22:09.536455Z
2025-02-01,ALFAS,no_signal,0,0,,,,,,,0.026,,2026-05-25T13:22:09.536631Z
2025-02-01,ALGYO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,29.26391382405744,18.62044905612532,0.027,,2026-05-25T13:22:09.537388Z
2025-02-01,ALKA,no_signal,0,0,,,,,,,0.027,,2026-05-25T13:22:09.537598Z
2025-02-01,ALKIM,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-2.82457879088206,-0.594648166501488,1.288404360753237,38.98895481346831,0.027,,2026-05-25T13:22:09.538333Z
2025-02-01,ALKLC,no_signal,0,0,,,,,,,0.028,,2026-05-25T13:22:09.538501Z
2025-02-01,ALTNY,no_signal,0,0,,,,,,,0.028,,2026-05-25T13:22:09.538649Z
2025-02-01,ALVES,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.209806157354615,-20.06841505131129,-2.793614595210947,61.84285738844908,0.029,,2026-05-25T13:22:09.539420Z
2025-02-01,ANELE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,3.128834355828203,-7.9754601226993955,239.57055214723928,60.34688874245644,0.029,,2026-05-25T13:22:09.540090Z
2025-02-01,ANGEN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.380338436744573,7.735697018533427,7.735697018533427,40.79703649142421,0.03,,2026-05-25T13:22:09.540752Z
2025-02-01,ANHYT,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,19.83223487118036,38.4062312762133,39.36488915518272,45.30597636926306,0.031,,2026-05-25T13:22:09.541388Z
2025-02-01,ANSGR,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,17.5107296137339,15.622317596566514,31.931330472102992,37.661662305710486,0.031,,2026-05-25T13:22:09.542039Z
2025-02-01,ARASE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,14.781746031746046,24.10714285714286,115.27777777777776,58.21745715960347,0.032,,2026-05-25T13:22:09.542671Z
2025-02-01,ARCLK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-24.818577648766336,-17.271407837445587,-17.12626995645864,38.82677908489987,0.032,,2026-05-25T13:22:09.543315Z
2025-02-01,ARDYZ,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,52.74949083503056,70.40054310930076,94.33129667345553,38.98895481346831,0.033,,2026-05-25T13:22:09.543961Z
2025-02-01,ARENA,no_signal,0,0,,,,,,,0.033,,2026-05-25T13:22:09.544124Z
2025-02-01,ARFYE,no_signal,0,0,,,,,,,0.033,,2026-05-25T13:22:09.544269Z
2025-02-01,ARMGD,no_signal,0,0,,,,,,,0.034,,2026-05-25T13:22:09.544414Z
2025-02-01,ARSAN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-5.727699612578608,17.742133632879042,57.798735796642006,61.84285738844908,0.042,,2026-05-25T13:22:09.553238Z
2025-02-01,ARTMS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.348680171884592,6.5070595457335845,34.00859422958871,42.365594040222064,0.043,,2026-05-25T13:22:09.553930Z
2025-02-01,ARZUM,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-14.641744548286596,-13.08411214953271,-15.576323987538942,45.22360114307309,0.044,,2026-05-25T13:22:09.554582Z
2025-02-01,ASELS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,53.72093023255813,111.046511627907,398.2558139534884,57.34168580862637,0.044,,2026-05-25T13:22:09.555248Z
2025-02-01,ASGYO,no_signal,0,0,,,,,,,0.045,,2026-05-25T13:22:09.555412Z
2025-02-01,ASTOR,no_signal,0,0,,,,,,,0.045,,2026-05-25T13:22:09.555561Z
2025-02-01,ASUZU,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.159705159705164,-10.974610974610965,16.298116298116305,55.79322656582914,0.046,,2026-05-25T13:22:09.556605Z
2025-02-01,ATAGY,no_signal,0,0,,,,,,,0.046,,2026-05-25T13:22:09.556834Z
2025-02-01,ATAKP,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.311688311688304,,-7.705627705627716,21.768665687407097,0.047,,2026-05-25T13:22:09.557558Z
2025-02-01,ATATP,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-10.35077630822312,,-5.692926969522716,38.1398966058964,0.047,,2026-05-25T13:22:09.558229Z
2025-02-01,ATATR,no_signal,0,0,,,,,,,0.048,,2026-05-25T13:22:09.558412Z
2025-02-01,AVGYO,no_signal,0,0,,,,,,,0.048,,2026-05-25T13:22:09.558560Z
2025-02-01,AVHOL,no_signal,0,0,,,,,,,0.048,,2026-05-25T13:22:09.558724Z
2025-02-01,AVOD,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-3.6184210526315694,38.815789473684205,65.13157894736841,58.70623439294482,0.049,,2026-05-25T13:22:09.559471Z
2025-02-01,AVPGY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-2.2883295194508046,-2.059496567505714,-2.5934401220442327,49.425863189274175,0.049,,2026-05-25T13:22:09.560200Z
2025-02-01,AVTUR,no_signal,0,0,,,,,,,0.051,,2026-05-25T13:22:09.561589Z
2025-02-01,AYCES,no_signal,0,0,,,,,,,0.051,,2026-05-25T13:22:09.561837Z
2025-02-01,AYDEM,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,9.15197313182199,,16.960537363560025,30.99801885135125,0.052,,2026-05-25T13:22:09.562498Z
2025-02-01,AYEN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,12.44477172312224,,33.06332842415316,17.205475785298052,0.052,,2026-05-25T13:22:09.563162Z
2025-02-01,AYGAZ,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-21.99144777031153,3.11545510079414,75.32070861331705,42.365594040222064,0.053,,2026-05-25T13:22:09.563808Z
2025-02-01,AZTEK,no_signal,0,0,,,,,,,0.053,,2026-05-25T13:22:09.563965Z
2025-02-01,BAGFS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,19.79933110367893,8.847624959442225,0.054,,2026-05-25T13:22:09.564590Z
2025-02-01,BAHKM,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,140.63324538258576,,109.49868073878628,37.18597816157592,0.054,,2026-05-25T13:22:09.565241Z
2025-02-01,BAKAB,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-3.957783641160939,,-0.8795074758135457,14.30738572031338,0.055,,2026-05-25T13:22:09.565883Z
2025-02-01,BALSU,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,-6.482064191315295,3.2541971342061604,0.056,,2026-05-25T13:22:09.566500Z
2025-02-01,BANVT,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-30.07425742574258,-29.331683168316825,-32.17821782178218,38.82677908489987,0.063,,2026-05-25T13:22:09.574087Z
2025-02-01,BARMA,no_signal,0,0,,,,,,,0.063,,2026-05-25T13:22:09.574264Z
2025-02-01,BASGZ,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,24.08231368186873,44.74416017797551,34.92769744160178,36.336647016282406,0.064,,2026-05-25T13:22:09.574956Z
2025-02-01,BAYRK,no_signal,0,0,,,,,,,0.064,,2026-05-25T13:22:09.575121Z
2025-02-01,BEGYO,no_signal,0,0,,,,,,,0.064,,2026-05-25T13:22:09.575269Z
2025-02-01,BERA,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,-16.58767772511848,8.846917052429548,0.065,,2026-05-25T13:22:09.575915Z
2025-02-01,BESLR,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,5.39280958721704,4.293490904659558,0.066,,2026-05-25T13:22:09.576547Z
2025-02-01,BESTE,no_signal,0,0,,,,,,,0.066,,2026-05-25T13:22:09.576736Z
2025-02-01,BEYAZ,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,25.814977973568286,27.753303964757706,34.00881057268723,47.3050653856836,0.067,,2026-05-25T13:22:09.577662Z
2025-02-01,BFREN,no_signal,0,0,,,,,,,0.067,,2026-05-25T13:22:09.577836Z
2025-02-01,BIENY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-51.15483319076133,-50.68434559452524,-46.32164242942686,34.69287201241891,0.069,,2026-05-25T13:22:09.580042Z
2025-02-01,BIGCH,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-16.08721272834415,22.156747200942828,8.27931644077784,51.92270451492129,0.07,,2026-05-25T13:22:09.580801Z
2025-02-01,BIGEN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,124.72527472527472,9.173054510242771,0.071,,2026-05-25T13:22:09.581448Z
2025-02-01,BIGTK,no_signal,0,0,,,,,,,0.071,,2026-05-25T13:22:09.581609Z
2025-02-01,BIMAS,no_signal,0,0,,,,,,,0.071,,2026-05-25T13:22:09.581777Z
2025-02-01,BINBN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-5.415499533146595,-24.976657329598503,-16.900093370681603,62.32685756653855,0.072,,2026-05-25T13:22:09.582410Z
2025-02-01,BINHO,no_signal,0,0,,,,,,,0.072,,2026-05-25T13:22:09.582567Z
2025-02-01,BIOEN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,9.905660377358494,-10.047169811320757,-3.6792452830188616,45.30597636926306,0.072,,2026-05-25T13:22:09.583219Z
2025-02-01,BIZIM,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-5.716302046577281,13.267466478475654,17.78405081157375,45.30597636926306,0.073,,2026-05-25T13:22:09.583866Z
2025-02-01,BJKAS,no_signal,0,0,,,,,,,0.073,,2026-05-25T13:22:09.584039Z
2025-02-01,BLCYT,no_signal,0,0,,,,,,,0.073,,2026-05-25T13:22:09.584201Z
2025-02-01,BLUME,no_signal,0,0,,,,,,,0.073,,2026-05-25T13:22:09.584364Z
2025-02-01,BMSCH,no_signal,0,0,,,,,,,0.074,,2026-05-25T13:22:09.584521Z
2025-02-01,BMSTL,no_signal,0,0,,,,,,,0.074,,2026-05-25T13:22:09.584698Z
