symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
SKYLP,volume_spike_strict,2025-02-03,2025-02-03,133.9,2025-02-24,130.6,2025-03-17,117.5,-2.46452576549665,-12.247946228528761,XU100,2025-02-04,2025-02-25,2025-03-18,-2.041762154198723,11.12845801276805,-0.42276361129792717,-23.37640424129681,False,False,2.3635079029166834,2.392283479803966,84948838.0,35509519.96999999,9.934318555008215,1.0,130.06,52.34782608695654,10.752688172043001,-4.014336917562722,0.06335584728427891,501363.0,-67837.0,34.48367291703586,100.0,10.37673129507246,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,343.75,156.7214339058999,54.103065149779006,102.61836875612087,True,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,133.9,130.6,117.5,343.75,2025-02-24,2025-03-17
ZEDUR,volume_spike_strict,2025-02-04,2025-02-04,8.73,2025-02-25,7.69,2025-03-18,7.91,-11.91294387170676,-9.392898052691868,XU100,2025-02-05,2025-02-26,2025-03-19,-3.625128733264682,10.147036330821546,-8.287815138442078,-19.539934383513412,False,False,4.384517953604586,4.4533263039390185,124417559.25,27938118.781,9.94962216624684,1.0,8.453,55.833333333333364,5.562273276904484,2.464788732394374,-0.061237663881951135,8895751.0,-1348520.0,60.593917991662195,85.0,12.248415294856507,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,10.87,24.513172966781195,53.58923636956898,-29.076063402787785,False,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,8.73,7.69,7.91,10.87,2025-02-25,2025-03-18
TRALT,volume_spike_strict,2025-02-06,2025-02-06,23.2,2025-02-27,23.36,2025-03-20,25.6,0.6896551724137945,10.344827586206895,XU100,2025-02-07,2025-02-28,2025-03-21,-1.0270113745472265,-0.3171055104829623,1.716666546961021,10.661933096689857,True,True,2.0444133566009937,2.053321580593025,3170416253.6,1544042727.435,5.454545454545445,0.7260273972602727,23.049,49.61832061068703,2.2026431718061623,-4.683648315529998,-0.11561122641087315,16255258.0,-258914904.0,43.837254568107284,70.0,4.195878875671988,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,43.9,89.22413793103448,53.042272267746384,36.18186566328809,True,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,23.2,23.36,25.6,43.9,2025-02-27,2025-03-20
KRDMB,volume_spike_strict,2025-02-07,2025-02-07,26.18,2025-03-28,24.48,2025-05-13,22.58,-6.493506493506496,-13.750954927425518,XU100,2025-02-10,2025-03-03,2025-03-24,-2.9358950525792182,-2.527018132671466,-3.557611440927278,-11.223936794754053,False,False,2.688971770355414,2.851844797450117,137783402.68,48313780.19,9.63149078726968,0.9829059829059833,24.57,62.38532110091745,8.18181818181818,9.174311926605494,0.02785719160416719,9268372.0,15969285.0,69.01362361128162,100.0,10.763653970829534,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,92.4,252.94117647058826,51.35831746494299,201.58285900564528,True,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,26.18,24.48,22.58,92.4,2025-03-28,2025-05-13
KRDMD,volume_spike_strict,2025-02-07,2025-02-07,28.86,2025-03-28,29.32,2025-05-13,24.62,1.5939015939016032,-14.691614691614685,XU100,2025-02-10,2025-03-03,2025-03-24,-2.9358950525792182,-2.527018132671466,4.529796646480822,-12.16459655894322,True,False,2.305799370206362,2.4461107573982415,3225811463.94,1318751186.6269999,6.33750921149594,0.9456521739130427,27.312,59.71014492753623,5.0983248361252675,12.121212121212132,0.10261483427737914,117267476.0,303001515.0,55.37246368117812,100.0,7.4696723950557935,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,40.52,40.40194040194041,51.35831746494299,-10.956377063002584,False,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,28.86,29.32,24.62,40.52,2025-03-28,2025-05-13
TEZOL,volume_spike_strict,2025-02-07,2025-02-07,18.62,2025-02-28,19.01,2025-03-21,16.79,2.094522019334044,-9.82814178302901,XU100,2025-02-10,2025-03-03,2025-03-24,-2.943531977109326,-9.114166997432594,5.03805399644337,-0.7139747855964149,True,False,2.1401693475553127,2.325472052959972,170772045.22,73435432.17499998,5.675368898978439,0.9646017699115051,17.1645,60.89850249584031,6.521739130434789,13.536585365853671,0.17127230297656912,18713526.0,34278972.0,67.8336983042559,100.0,5.8065852747821385,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,19.61,5.316863587540266,51.35831746494299,-46.04145387740272,False,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,18.62,19.01,16.79,19.61,2025-02-28,2025-03-21
PEKGY,volume_spike_strict,2025-02-10,2025-02-10,1.17134663,2025-03-03,1.13230174,2025-03-24,1.10106583,-3.333333532534255,-6.000000187818011,XU100,2025-02-11,2025-03-04,2025-03-25,0.6624110665915062,-5.550460346237241,-3.995744599125761,-0.4495398415807701,False,False,2.7291648182826322,2.8593412496490145,424506991.8120468,148463213.98824126,9.489051306398299,1.0,1.1057512135,55.10204124300789,12.781955097160624,7.913669773933951,-0.1176995984190334,616626096.0541887,99709098.9185201,58.78598044839622,90.0,10.552191589667903,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,16.78,1332.539230509418,52.984760076580486,1279.5544704328377,True,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,1.17134663,1.13230174,1.10106583,16.78,2025-03-03,2025-03-24
PAPIL,volume_spike_strict,2025-02-11,2025-02-11,13.3,2025-03-04,15.93,2025-03-25,35.48,19.774436090225556,166.76691729323304,XU100,2025-02-12,2025-03-05,2025-03-26,0.15400509370329107,-1.6919311247127644,19.620430996522266,168.4588484179458,True,True,2.8097660351866605,2.916130886284904,264203316.3,90600637.14649999,6.655974338412185,0.7339449541284411,12.667,51.875000000000014,12.6164267569856,4.88958990536279,-0.16758321606014204,34917080.0,15229501.0,49.543733076374416,80.0,6.280790885485321,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,17.06,28.270676691729314,52.412931975687016,-24.142255283957702,False,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,13.3,15.93,35.48,17.06,2025-03-04,2025-03-25
TRILC,volume_spike_strict,2025-02-11,2025-02-11,3.0972354,2025-03-04,4.10364186,2025-03-25,3.694838,32.49370260975319,19.29471037299908,XU100,2025-02-12,2025-03-05,2025-03-26,0.15400509370329107,-1.6919311247127644,32.3396975160499,20.986641497711844,True,True,3.4489403607982956,3.7869993699980666,670064262.424514,176938044.33478323,9.972299241758687,1.0,2.8215268370000004,77.32558088264507,5.305039785092869,7.008086138824954,0.11536204730591056,204832803.21775055,544388244.4377937,77.72149644698258,100.0,10.373921971862478,100.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,3.81,23.012929530638825,52.412931975687016,-29.40000244504819,False,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,3.0972354,4.10364186,3.694838,3.81,2025-03-04,2025-03-25
PASEU,volume_spike_strict,2025-02-12,2025-02-12,34.5,2025-03-05,35.74,2025-03-26,35.3,3.5942028985507246,2.3188405797101463,XU100,2025-02-13,2025-03-06,2025-03-27,4.185051080977997,-1.329710815506191,-0.5908481824272727,3.6485513952163373,False,True,2.9476247410606558,3.055943969392902,506205907.5,165646331.402,4.735883424408027,1.0,33.270999999999994,44.341801385681315,7.276119402985093,4.863221884498481,0.20845341644402746,15055124.0,36385392.0,66.74756685898157,100.0,2.293055759310536,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,103.3,199.42028985507244,54.021598086623435,145.398691768449,True,2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,34.5,35.74,35.3,103.3,2025-03-05,2025-03-26
