symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data,required_lookback_ready_for_2024_01_01,status,reason
BIZIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BJKAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BLCYT,2021-01-06,2026-05-08,338,1,1,1,1,ok,
BLUME,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BMSCH,2021-06-08,2026-05-08,319,1,1,1,1,ok,
BMSTL,2022-04-27,2026-05-08,252,1,1,1,1,ok,
BNTAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BOBET,2021-06-03,2026-05-08,315,1,1,1,1,ok,
BORLS,2023-10-19,2026-05-08,155,1,1,1,1,ok,
BORSK,2024-02-15,2026-05-08,149,1,1,1,0,ok,
BOSSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRISA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRKSN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRKVY,2022-12-15,2026-05-08,232,1,1,1,1,ok,
BRLSM,2021-08-20,2026-05-08,282,1,1,1,1,ok,
BRSAN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRYAT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BSOKE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BTCIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BUCIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BULGS,2025-02-21,2026-05-08,72,0,1,1,0,ok,
BURCE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BURVA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BVSAN,2023-02-06,2026-05-08,226,1,1,1,1,ok,
BYDNR,2023-08-21,2026-05-08,204,1,1,1,1,ok,
CANTE,2021-04-30,2026-05-08,309,1,1,1,1,ok,
CATES,2023-12-07,2026-05-08,173,1,1,1,1,ok,
CCOLA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CELHA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CEMAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CEMTS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CEMZY,2024-09-09,2026-05-08,111,1,1,1,0,ok,
CEOEM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
