symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
CLEBI,2026-01-22,2026-05-08,74,False,False,True
CMBTN,2026-01-22,2026-05-08,74,False,False,True
CONSE,2026-01-22,2026-05-08,74,False,False,True
COSMO,2026-01-22,2026-05-08,74,False,False,True
CRDFA,2026-01-22,2026-05-08,74,False,False,True
CRFSA,2026-01-22,2026-05-08,74,False,False,True
CUSAN,2026-01-22,2026-05-08,74,False,False,True
CVKMD,2026-01-22,2026-05-08,74,False,False,True
CWENE,2026-01-22,2026-05-08,74,False,False,True
DAGI,2026-01-22,2026-05-08,74,False,False,True
DAPGM,2026-01-22,2026-05-08,74,False,False,True
DARDL,2026-01-22,2026-05-08,74,False,False,True
DCTTR,2026-01-22,2026-05-08,74,False,False,True
DENGE,2026-01-22,2026-05-08,74,False,False,True
DERHL,2026-01-22,2026-05-08,74,False,False,True
DERIM,2026-01-22,2026-05-08,74,False,False,True
DESA,2026-01-22,2026-05-08,74,False,False,True
DESPC,2026-01-22,2026-05-08,74,False,False,True
DEVA,2026-01-22,2026-05-08,74,False,False,True
DGATE,2026-01-22,2026-05-08,74,False,False,True
DGGYO,2026-01-22,2026-05-08,74,False,False,True
DGNMO,2026-01-22,2026-05-08,74,False,False,True
DITAS,2026-01-22,2026-05-08,74,False,False,True
DMRGD,2026-01-22,2026-05-08,74,False,False,True
DMSAS,2026-01-22,2026-05-08,74,False,False,True
DNISI,2026-01-22,2026-05-08,74,False,False,True
DOAS,2026-01-22,2026-05-08,74,False,False,True
DOCO,2026-01-22,2026-05-08,74,False,False,True
DOFER,2026-01-22,2026-05-08,74,False,False,True
DOFRB,2026-01-22,2026-05-08,74,False,False,True
DOGUB,2026-01-22,2026-05-08,74,False,False,True
DOHOL,2026-01-22,2026-05-08,74,False,False,True
DOKTA,2026-01-22,2026-05-08,74,False,False,True
DSTKF,2026-01-22,2026-05-08,74,False,False,True
DUNYH,2026-01-22,2026-05-08,74,False,False,True
DURDO,2026-01-22,2026-05-08,74,False,False,True
DURKN,2026-01-22,2026-05-08,74,False,False,True
DYOBY,2026-01-22,2026-05-08,74,False,False,True
DZGYO,2026-01-22,2026-05-08,74,False,False,True
EBEBK,2026-01-22,2026-05-08,74,False,False,True
ECILC,2026-01-22,2026-05-08,74,False,False,True
ECOGR,2026-01-22,2026-05-08,74,False,False,True
ECZYT,2026-01-22,2026-05-08,74,False,False,True
EDATA,2026-01-22,2026-05-08,74,False,False,True
EDIP,2026-01-22,2026-05-08,74,False,False,True
EFOR,2026-01-22,2026-05-08,74,False,False,True
EGEEN,2026-01-22,2026-05-08,74,False,False,True
EGEGY,2026-01-22,2026-05-08,74,False,False,True
EGEPO,2026-01-22,2026-05-08,74,False,False,True
EGGUB,2026-01-22,2026-05-08,74,False,False,True
EGPRO,2026-01-22,2026-05-08,74,False,False,True
EGSER,2026-01-22,2026-05-08,74,False,False,True
EKOS,2026-01-22,2026-05-08,74,False,False,True
EKSUN,2026-01-22,2026-05-08,74,False,False,True
ELITE,2026-01-22,2026-05-08,74,False,False,True
EMKEL,2026-01-22,2026-05-08,74,False,False,True
ENDAE,2026-01-22,2026-05-08,74,False,False,True
ENERY,2026-01-22,2026-05-08,74,False,False,True
ENKAI,2026-01-22,2026-05-08,74,False,False,True
ENSRI,2026-01-22,2026-05-08,74,False,False,True
ENTRA,2026-01-22,2026-05-08,74,False,False,True
EPLAS,2026-01-22,2026-05-08,74,False,False,True
ERBOS,2026-01-22,2026-05-08,74,False,False,True
ERCB,2026-01-22,2026-05-08,74,False,False,True
EREGL,2026-01-22,2026-05-08,74,False,False,True
ESCAR,2026-01-22,2026-05-08,74,False,False,True
ESCOM,2026-01-22,2026-05-08,74,False,False,True
ESEN,2026-01-22,2026-05-08,74,False,False,True
ETILR,2026-01-22,2026-05-08,74,False,False,True
EUPWR,2026-01-22,2026-05-08,74,False,False,True
EUREN,2026-01-22,2026-05-08,74,False,False,True
EYGYO,2026-01-22,2026-05-08,74,False,False,True
FADE,2026-01-22,2026-05-08,74,False,False,True
FENER,2026-01-22,2026-05-08,74,False,False,True
FLAP,2026-01-22,2026-05-08,74,False,False,True
FMIZP,2026-01-22,2026-05-08,74,False,False,True
FONET,2026-01-22,2026-05-08,74,False,False,True
FORMT,2026-01-22,2026-05-08,74,False,False,True
FORTE,2026-01-22,2026-05-08,74,False,False,True
FRIGO,2026-01-22,2026-05-08,74,False,False,True
FRMPL,2026-01-22,2026-05-08,74,False,False,True
FROTO,2026-01-22,2026-05-08,74,False,False,True
FZLGY,2026-01-22,2026-05-08,74,False,False,True
GARAN,2026-01-22,2026-05-08,74,False,False,True
GARFA,2026-01-22,2026-05-08,74,False,False,True
GEDIK,2026-01-22,2026-05-08,74,False,False,True
GEDZA,2026-01-22,2026-05-08,74,False,False,True
GENTS,2026-01-22,2026-05-08,74,False,False,True
GEREL,2026-01-22,2026-05-08,74,False,False,True
GESAN,2026-01-22,2026-05-08,74,False,False,True
GIPTA,2026-01-22,2026-05-08,74,False,False,True
GLBMD,2026-01-22,2026-05-08,74,False,False,True
GLCVY,2026-01-22,2026-05-08,74,False,False,True
GLRMK,2026-01-22,2026-05-08,74,False,False,True
GLRYH,2026-01-22,2026-05-08,74,False,False,True
GLYHO,2026-01-22,2026-05-08,74,False,False,True
GMTAS,2026-01-22,2026-05-08,74,False,False,True
GOLTS,2026-01-22,2026-05-08,74,False,False,True
GOODY,2026-01-22,2026-05-08,74,False,False,True
GOZDE,2026-01-22,2026-05-08,74,False,False,True
GRSEL,2026-01-22,2026-05-08,74,False,False,True
GRTHO,2026-01-22,2026-05-08,74,False,False,True
GSDDE,2026-01-22,2026-05-08,74,False,False,True
GSDHO,2026-01-22,2026-05-08,74,False,False,True
GSRAY,2026-01-22,2026-05-08,74,False,False,True
GUBRF,2026-01-22,2026-05-08,74,False,False,True
GUNDG,2026-01-22,2026-05-08,74,False,False,True
GWIND,2026-01-22,2026-05-08,74,False,False,True
GZNMI,2026-01-22,2026-05-08,74,False,False,True
HATEK,2026-01-22,2026-05-08,74,False,False,True
HATSN,2026-01-22,2026-05-08,74,False,False,True
HDFGS,2026-01-22,2026-05-08,74,False,False,True
HEDEF,2026-01-22,2026-05-08,74,False,False,True
HEKTS,2026-01-22,2026-05-08,74,False,False,True
HKTM,2026-01-22,2026-05-08,74,False,False,True
HLGYO,2026-01-22,2026-05-08,74,False,False,True
HOROZ,2026-01-22,2026-05-08,74,False,False,True
HRKET,2026-01-22,2026-05-08,74,False,False,True
HTTBT,2026-01-22,2026-05-08,74,False,False,True
HUBVC,2026-01-22,2026-05-08,74,False,False,True
HUNER,2026-01-22,2026-05-08,74,False,False,True
HURGZ,2026-01-22,2026-05-08,74,False,False,True
ICBCT,2026-01-22,2026-05-08,74,False,False,True
ICUGS,2026-01-22,2026-05-08,74,False,False,True
IDGYO,2026-01-22,2026-05-08,74,False,False,True
IEYHO,2026-01-22,2026-05-08,74,False,False,True
IHAAS,2026-01-22,2026-05-08,74,False,False,True
IHEVA,2026-01-22,2026-05-08,74,False,False,True
IHGZT,2026-01-22,2026-05-08,74,False,False,True
IHLAS,2026-01-22,2026-05-08,74,False,False,True
IHLGM,2026-01-22,2026-05-08,74,False,False,True
IHYAY,2026-01-22,2026-05-08,74,False,False,True
IMASM,2026-01-22,2026-05-08,74,False,False,True
INDES,2026-01-22,2026-05-08,74,False,False,True
INFO,2026-01-22,2026-05-08,74,False,False,True
INGRM,2026-01-22,2026-05-08,74,False,False,True
INTEM,2026-01-22,2026-05-08,74,False,False,True
INVEO,2026-01-22,2026-05-08,74,False,False,True
INVES,2026-01-22,2026-05-08,74,False,False,True
ISBTR,2026-01-22,2026-05-08,73,False,False,True
ISCTR,2026-01-22,2026-05-08,74,False,False,True
ISDMR,2026-01-22,2026-05-08,74,False,False,True
ISFIN,2026-01-22,2026-05-08,74,False,False,True
ISGSY,2026-01-22,2026-05-08,74,False,False,True
ISGYO,2026-01-22,2026-05-08,74,False,False,True
ISKPL,2026-01-22,2026-05-08,74,False,False,True
ISSEN,2026-01-22,2026-05-08,74,False,False,True
IZENR,2026-01-22,2026-05-08,74,False,False,True
IZFAS,2026-01-22,2026-05-08,74,False,False,True
IZINV,2026-01-22,2026-05-08,74,False,False,True
IZMDC,2026-01-22,2026-05-08,74,False,False,True
KAPLM,2026-01-22,2026-05-08,74,False,False,True
KAREL,2026-01-22,2026-05-08,74,False,False,True
KARSN,2026-01-22,2026-05-08,74,False,False,True
KARTN,2026-01-22,2026-05-08,74,False,False,True
KATMR,2026-01-22,2026-05-08,74,False,False,True
KAYSE,2026-01-22,2026-05-08,74,False,False,True
KBORU,2026-01-22,2026-05-08,74,False,False,True
KCAER,2026-01-22,2026-05-08,74,False,False,True
KFEIN,2026-01-22,2026-05-08,74,False,False,True
KGYO,2026-01-22,2026-05-08,74,False,False,True
KIMMR,2026-01-22,2026-05-08,74,False,False,True
KLKIM,2026-01-22,2026-05-08,74,False,False,True
KLMSN,2026-01-22,2026-05-08,74,False,False,True
KLRHO,2026-01-22,2026-05-08,74,False,False,True
KLSER,2026-01-22,2026-05-08,74,False,False,True
KLSYN,2026-01-22,2026-05-08,74,False,False,True
KLYPV,2026-01-22,2026-05-08,74,False,False,True
KMPUR,2026-01-22,2026-05-08,74,False,False,True
KNFRT,2026-01-22,2026-05-08,74,False,False,True
KOCMT,2026-01-22,2026-05-08,74,False,False,True
KONKA,2026-01-22,2026-05-08,74,False,False,True
KONTR,2026-01-22,2026-05-08,74,False,False,True
KONYA,2026-01-22,2026-05-08,74,False,False,True
KOPOL,2026-01-22,2026-05-08,74,False,False,True
KORDS,2026-01-22,2026-05-08,74,False,False,True
KRDMA,2026-01-22,2026-05-08,74,False,False,True
KRDMB,2026-01-22,2026-05-08,74,False,False,True
KRDMD,2026-01-22,2026-05-08,74,False,False,True
KRGYO,2026-01-22,2026-05-08,74,False,False,True
KRONT,2026-01-22,2026-05-08,74,False,False,True
KRPLS,2026-01-22,2026-05-08,74,False,False,True
KRSTL,2026-01-22,2026-05-08,74,False,False,True
KRVGD,2026-01-22,2026-05-08,74,False,False,True
KTLEV,2026-01-22,2026-05-08,74,False,False,True
KTSKR,2026-01-22,2026-05-08,74,False,False,True
KUVVA,2026-01-22,2026-05-08,74,False,False,True
KZGYO,2026-01-22,2026-05-08,74,False,False,True
LIDER,2026-01-22,2026-05-08,74,False,False,True
LILAK,2026-01-22,2026-05-08,74,False,False,True
LINK,2026-01-22,2026-05-08,74,False,False,True
LKMNH,2026-01-22,2026-05-08,74,False,False,True
LRSHO,2026-01-22,2026-05-08,74,False,False,True
LUKSK,2026-01-22,2026-05-08,74,False,False,True
LYDYE,2026-01-22,2026-05-08,74,False,False,True
MAALT,2026-01-22,2026-05-08,74,False,False,True
MACKO,2026-01-22,2026-05-08,74,False,False,True
MAKIM,2026-01-22,2026-05-08,74,False,False,True
MAKTK,2026-01-22,2026-05-08,74,False,False,True
MANAS,2026-01-22,2026-05-08,74,False,False,True
MARBL,2026-01-22,2026-05-08,74,False,False,True
MARKA,2026-01-22,2026-05-08,72,False,False,True
MARMR,2026-01-22,2026-05-08,74,False,False,True
MARTI,2026-01-22,2026-05-08,74,False,False,True
MAVI,2026-01-22,2026-05-08,74,False,False,True
MEDTR,2026-01-22,2026-05-08,74,False,False,True
MEKAG,2026-01-22,2026-05-08,74,False,False,True
MERCN,2026-01-22,2026-05-08,74,False,False,True
