symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
OSTIM,volume_spike_strict,2026-02-02,2026-02-02,3.15,2026-02-23,3.05,2026-03-16,2.79,-3.1746031746031744,-11.428571428571422,XU100,2026-02-03,2026-02-24,2026-03-17,3.235897642969099,-4.876532106791387,-6.410500817572274,-6.552039321780034,False,False,2.8112646639993137,2.9140141781198374,150540134.85,51660742.072000004,6.4189189189189255,0.8076923076923068,3.0404999999999998,55.35714285714287,4.651162790697683,1.2861736334405238,-0.10471289740729949,22637884.0,112790957.0,47.76860528736437,75.0,7.989488693074554,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,3.0,-4.761904761904756,10.58443060138976,-15.346335363294516,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,3.15,3.05,2.79,3.0,2026-02-23,2026-03-16
VKING,volume_spike_strict,2026-02-02,2026-02-02,34.78,2026-02-23,30.36,2026-03-16,27.0,-12.708453133985053,-22.369177688326623,XU100,2026-02-03,2026-02-24,2026-03-17,3.235897642969099,-4.876532106791387,-15.944350776954153,-17.492645581535236,False,False,4.407373746195864,4.799650285414619,136809773.28,28504112.830000002,9.371069182389945,0.9556962025316454,31.817999999999994,62.09677419354845,10.202788339670477,11.047254150702424,-0.1458439990737382,4520336.0,6795639.0,56.01853946592086,90.0,10.941638956545573,85.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,28.24,-18.803910293271997,10.58443060138976,-29.38834089466176,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,34.78,30.36,27.0,28.24,2026-02-23,2026-03-16
ORCAY,volume_spike_strict,2026-02-03,2026-02-03,3.95,2026-02-24,3.63,2026-03-17,3.37,-8.10126582278482,-14.683544303797468,XU100,2026-02-04,2026-02-25,2026-03-18,1.2649077642894024,-4.740215000446835,-9.366173587074222,-9.943329303350634,False,False,2.6134506127377106,2.737593616864968,33084884.0,12085389.079000002,4.497354497354511,1.0,3.7580000000000005,64.70588235294119,4.774535809018565,6.182795698924726,0.013509244992113428,13047998.0,24224183.0,70.58395825322965,100.0,6.0333962293791625,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,4.19,6.075949367088618,8.557135979566599,-2.4811866124779813,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,3.95,3.63,3.37,4.19,2026-02-24,2026-03-17
SANEL,volume_spike_strict,2026-02-03,2026-02-03,38.72,2026-02-24,38.88,2026-03-17,35.2,0.4132231404958775,-9.090909090909083,XU100,2026-02-04,2026-02-25,2026-03-18,1.2649077642894024,-4.740215000446835,-0.8516846237935249,-4.350694090462248,False,False,2.367773314364962,2.5658713992158324,34835338.56,13576416.406,9.999999999999986,1.0,35.92400000000001,57.40131578947367,14.556213017751496,8.398656215005595,0.04559043709943934,394769.0,-2082684.0,39.97732843365203,90.0,8.1325091128005,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,41.66,7.592975206611574,8.557135979566599,-0.964160772955025,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,38.72,38.88,35.2,41.66,2026-02-24,2026-03-17
SKYMD,volume_spike_strict,2026-02-03,2026-02-03,12.75,2026-02-24,12.65,2026-03-17,12.16,-0.7843137254901933,-4.627450980392156,XU100,2026-02-04,2026-02-25,2026-03-18,1.2649077642894024,-4.740215000446835,-2.0492214897795957,0.11276402005467823,False,True,3.6348601907486646,3.7937438292682715,122450107.5,32276851.841000002,4.251839738348329,0.6875000000000002,12.2135,72.51461988304095,4.251839738348329,5.371900826446274,-0.09388453735429043,10080500.0,5975823.0,65.83043290175824,85.0,3.2023962137669892,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,14.0,9.80392156862746,8.557135979566599,1.2467855890608615,True,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,12.75,12.65,12.16,14.0,2026-02-24,2026-03-17
DERHL,volume_spike_strict,2026-02-03,2026-02-03,17.25,,,,,,,XU100,2026-02-09,2026-03-02,2026-03-24,,,,,,,4.8078729760002545,5.565874279243209,994390843.5,178658516.8135,20.882971268395245,1.0,14.6625,64.9835345773875,23.214285714285722,23.744619799139176,0.09107259989771557,95484421.0,160956120.0,68.78595078411203,100.0,19.513004762998886,85.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,15.39,-10.782608695652174,8.557135979566599,-19.339744675218775,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,17.25,,,15.39,,
DEVA,volume_spike_strict,2026-02-03,2026-02-03,70.95,,,,,,,XU100,2026-02-09,2026-03-02,2026-03-24,,,,,,,2.0633213172471017,2.220390023534863,104449397.25,47041013.58,6.1331338818249925,0.6557377049180334,65.53,72.28260869565217,6.5315315315315425,14.251207729468597,0.1397191840838037,1437895.0,3714525.0,71.51017138308264,100.0,4.763167376428634,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,71.95,1.4094432699083947,8.557135979566599,-7.147692709658204,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,70.95,,,71.95,,
VSNMD,volume_spike_strict,2026-02-05,2026-02-05,97.4,2026-02-26,83.05,2026-03-19,77.35,-14.733059548254623,-20.585215605749497,XU100,2026-02-06,2026-02-27,2026-03-23,2.1296417580509264,-3.984210921368092,-16.86270130630555,-16.601004684381405,False,False,3.8736227953939086,4.099419544980508,894941296.6,218309272.0275,6.739726027397275,0.8571428571428583,91.495,58.90603085553999,6.100217864923763,7.03296703296703,-0.03711128523685878,9793973.0,13945402.0,56.93261139441146,90.0,3.02481740628997,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,90.75,-6.827515400410689,10.843291039756743,-17.670806440167432,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,97.4,83.05,77.35,90.75,2026-02-26,2026-03-19
SAFKR,volume_spike_strict,2026-02-06,2026-02-06,29.22,2026-02-27,25.96,2026-03-23,25.54,-11.156741957563309,-12.594113620807668,XU100,2026-02-09,2026-03-02,2026-03-24,1.4483847016260931,-2.616484592470314,-12.605126659189402,-9.977629028337354,False,False,2.062064557236252,2.1348389575604854,409307799.12,191727716.82399997,5.411255411255422,0.7252747252747254,28.163999999999998,49.2822966507177,-0.9491525423728886,-1.3504388926401156,0.2803712288816058,1481987.0,14818876.0,55.07131646204022,100.0,5.905620764765651,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,25.92,-11.293634496919914,11.393984304050608,-22.687618800970522,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,29.22,25.96,25.54,25.92,2026-02-27,2026-03-23
BERA,volume_spike_strict,2026-02-09,2026-02-09,21.1,,,,,,,XU100,2026-02-10,2026-03-03,2026-03-25,,,,,,,3.7620827379629755,4.432280357128907,1462626764.4,329994189.5705,14.79869423286182,0.7083333333333343,17.888,65.34653465346534,14.115738236884813,27.108433734939762,-0.12041728152584057,54156049.0,136512405.0,67.64333624352238,85.0,15.737330087796941,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,17.6,-16.58767772511848,8.846917052429548,-25.43459477754803,False,2026-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,490,188,302,21.1,,,17.6,,
