symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
RYGYO,volume_spike_strict,2025-10-01,2025-10-01,21.94,2025-10-22,20.1,2025-11-13,21.16,-8.386508659981773,-3.555150410209673,XU100,2025-10-02,2025-10-23,2025-11-14,-5.961380436390728,-5.2725347631329855,-2.425128223591045,1.7173843529233124,False,True,2.6541945255196904,2.8725487552386513,298332879.8,103856506.96300001,9.974937343358414,1.0,20.346,69.23990498812353,8.937437934458803,2.8116213683224034,-0.16149852470253118,18095336.0,1640781.0,79.46968750914237,90.0,8.085201307063873,75.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,31.9,45.39653600729261,34.2455852024292,11.150950804863413,True,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,21.94,20.1,21.16,31.9,2025-10-22,2025-11-13
RTALB,volume_spike_strict,2025-10-02,2025-10-02,4.11,2025-10-23,3.65,2025-11-14,3.83,-11.19221411192215,-6.812652068126523,XU100,2025-10-03,2025-10-24,2025-11-17,-4.280301697340782,-4.663965141848092,-6.9119124145813675,-2.1486869262784314,False,False,5.92595555811672,6.519010008382428,1330922722.8000002,204160251.49350002,6.7532467532467555,0.7,3.7114999999999996,69.94535519125684,10.78167115902966,12.91208791208791,-0.06762867171180494,71841263.0,136360478.0,52.05354682696386,85.0,7.979515043886332,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,4.0,-2.676399026763998,35.91223382897382,-38.58863285573781,False,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,4.11,3.65,3.83,4.0,2025-10-23,2025-11-14
OZATD,volume_spike_strict,2025-10-03,2025-10-03,240.8,2025-10-24,223.1,2025-11-17,183.0,-7.3504983388704375,-24.00332225913622,XU100,2025-10-06,2025-10-27,2025-11-18,0.7668632557659816,-1.4770889587162994,-8.117361594636419,-22.526233300419918,False,False,3.0621638351213982,3.2305937484635123,201676260.8,62426995.31500001,6.360424028268552,0.9014778325123153,227.96999999999997,62.837837837837846,5.8461538461538565,4.33275563258233,0.07814207145748855,970008.0,1659730.0,57.58719022721163,100.0,7.080067523850564,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,600.5,149.37707641196013,38.71733901120962,110.65973740075052,True,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,240.8,223.1,183.0,600.5,2025-10-24,2025-11-17
OZYSR,volume_spike_strict,2025-10-06,2025-10-06,8.36583894,2025-10-27,8.59998487,2025-11-18,10.76095668,2.7988338250269917,28.629737641112186,XU100,2025-10-07,2025-10-28,2025-11-19,1.1044381534196512,-0.05840778695970217,1.6943956716073405,28.688145428071888,True,True,2.19047237913422,2.314063478258429,104009845.06270197,44946841.79579209,5.2793123682346454,0.9436619734576509,7.929742148499999,60.689655148038014,8.958068644037365,4.445797749233615,0.036260918617175675,27360459.22704777,20838635.155159265,51.62411902717032,100.0,4.097788474266473,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,12.86,53.72038706736086,40.31515984823288,13.40522721912798,True,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,8.36583894,8.59998487,10.76095668,12.86,2025-10-27,2025-11-18
TKNSA,volume_spike_strict,2025-10-06,2025-10-06,26.5,2025-10-27,24.48,2025-11-18,25.9,-7.622641509433958,-2.264150943396237,XU100,2025-10-07,2025-10-28,2025-11-19,1.1044381534196512,-0.05840778695970217,-8.727079662853608,-2.205743156436535,False,False,12.762784051980484,13.050761783119023,944085237.0,72339473.564,5.075337034099925,0.605095541401274,25.919,45.247148288973385,3.840125391849525,-0.6746626686656709,-0.046377359159502494,37908066.0,33186482.0,76.14716431635203,85.0,6.2140741732312215,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,22.84,-13.811320754716983,40.31515984823288,-54.12648060294986,False,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,26.5,24.48,25.9,22.84,2025-10-27,2025-11-18
VAKKO,volume_spike_strict,2025-10-06,2025-10-06,62.8,2025-10-27,69.0,2025-11-18,58.3,9.872611464968163,-7.165605095541405,XU100,2025-10-07,2025-10-28,2025-11-19,1.1044381534196512,-0.05840778695970217,8.768173311548512,-7.1071973085817035,True,False,5.3203133473369615,5.570056172026806,159419370.0,28620783.18,6.260575296108284,0.644628099173553,59.9625,53.781512605042,8.744588744588743,2.614379084967311,-0.18973536373616862,3241846.0,559243.0,55.6555663155529,85.0,7.39931243523958,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,83.25,32.56369426751593,40.31515984823288,-7.751465580716953,False,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,62.8,69.0,58.3,83.25,2025-10-27,2025-11-18
MOBTL,volume_spike_strict,2025-10-06,2025-10-06,7.74,2025-11-14,7.15,2025-12-24,8.23,-7.622739018087854,6.330749354005172,XU100,2025-10-14,2025-11-05,2025-11-26,-1.5755197780690455,5.6379816430008,-6.0472192400188085,0.6927677110043717,False,True,2.1789114114024803,2.1921827655763857,185713041.42000002,84716039.345,11.527377521613836,0.7222222222222222,7.564,43.488372093023244,4.0322580645161255,3.475935828876997,-0.24482901219051986,37019829.0,10234014.0,54.60129041662562,90.0,11.340814268479505,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,13.1,69.25064599483204,40.31515984823288,28.93548614659916,True,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,7.74,7.15,8.23,13.1,2025-11-14,2025-12-24
PKART,volume_spike_strict,2025-10-08,2025-10-08,86.75,2025-10-30,79.5,2025-11-20,74.0,-8.35734870317003,-14.69740634005764,XU100,2025-10-09,2025-10-31,2025-11-21,0.7533280588903013,2.0774859686489844,-9.110676762060333,-16.774892308706626,False,False,2.9223348306756898,2.945230442224281,122867061.25,41717299.769999996,3.458556946929048,0.8454545454545465,85.54499999999999,47.046413502109694,5.151515151515151,-0.5730659025787954,-0.070073530119458,1783330.0,2758248.0,65.83361943018319,90.0,3.9934137220127175,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,153.4,76.82997118155622,40.03599760883652,36.7939735727197,True,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,86.75,79.5,74.0,153.4,2025-10-30,2025-11-20
SMRVA,volume_spike_strict,2025-10-09,2025-10-09,60.57128,2025-10-31,62.73454,2025-11-21,83.727995,3.571428571428581,38.2305194805195,XU100,2025-10-10,2025-11-03,2025-11-24,2.2796723775004857,1.8260498294953464,1.2917561939280953,36.40446965102415,True,True,3.108601943027461,3.6606453221532216,2112759879.9999998,577155035.265,10.000000000000009,1.0,54.24276120000002,64.84375,4.584040747028872,2.923976608187151,0.25452914913871283,26475383.911319256,131757174.81948566,67.20281848310864,100.0,9.06179206853961,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,19.22,-68.26879009325873,40.41836565370682,-108.68715574696554,False,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,60.57128,62.73454,83.727995,19.22,2025-10-31,2025-11-21
TABGD,volume_spike_strict,2025-10-09,2025-10-09,240.6,2025-10-31,237.7,2025-11-21,237.9,-1.2053200332502123,-1.122194513715702,XU100,2025-10-10,2025-11-03,2025-11-24,2.2796723775004857,1.8260498294953464,-3.484992410750698,-2.9482443432110483,False,False,2.7992717323929472,2.961438766185498,599402449.1999999,202402445.74499997,5.157342657342645,0.8297872340425527,231.10500000000002,60.3125,3.439380911435941,1.9491525423728895,0.11489533083853351,-779214.0,3705838.0,44.04357900286596,90.0,1.7509306626127819,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,280.0,16.375727348295932,40.41836565370682,-24.04263830541089,False,2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,240.6,237.7,237.9,280.0,2025-10-31,2025-11-21
