symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
ARCLK,volume_spike_strict,2024-07-26,2024-07-26,190.8,2024-10-30,131.5,2025-02-07,128.1,-31.07966457023061,-32.8616352201258,XU100,2024-08-08,2024-08-29,2024-09-20,-17.306007848379746,-8.628535122142022,-13.773656721850866,-24.233100097983776,False,False,2.974476989847984,3.2268972602143178,2225925842.4,689803753.545027,8.532423208191119,0.8546510782855108,176.16,55.75220899574691,9.907827770286426,0.3154574132492316,-0.0256952630961065,23614911.0,51795624.0,79.95325777257877,90.0,9.880962645074352,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,114.2,-40.146750524109024,38.29831188219717,-78.44506240630619,False,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,190.8,131.5,128.1,114.2,2024-10-30,2025-02-07
BARMA,volume_spike_strict,2024-08-07,2024-08-07,20.120001,2024-12-05,17.21,2025-05-08,18.73,-14.463224927275087,-6.908553334564937,XU100,2024-08-09,2024-09-02,2024-09-23,-0.8813574201117169,-7.432930545843064,-13.58186750716337,0.5243772112781269,False,True,4.245995699904822,4.174844289061428,179240900.068593,42933553.36346909,17.867609841827758,0.8695652882797336,19.3315001,53.69457909680054,4.90094369134515,14.058969050961956,-0.0030415871187146,7464700.0,20785519.0,68.72553056256592,90.0,18.051095997593613,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,59.5,195.72563142516745,50.26121498636815,145.4644164387993,True,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,20.120001,17.21,18.73,59.5,2024-12-05,2025-05-08
BIZIM,volume_spike_strict,2024-08-08,2024-08-08,38.799999,2024-11-07,27.38,2025-02-12,26.82,-29.432987871984228,-30.87628687825481,XU100,2024-08-12,2024-09-03,2024-09-24,-11.41129870772888,-3.1581918106649565,-18.02168916425535,-27.718095067589854,False,False,4.178472881461797,4.173829111900954,91496760.841836,21921539.7633192,5.263152326013243,0.9306931036172752,38.27399964999999,45.69596820952236,13.185531306462428,-1.2722646634164003,0.0728973577994935,2702678.0,3624151.0,56.38014320960268,100.0,13.254948120922894,85.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,33.38,-13.969069947656433,49.15730058919641,-63.126370536852846,False,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,38.799999,27.38,26.82,33.38,2024-11-07,2025-02-12
ANGEN,volume_spike_strict,2024-08-08,2024-08-08,12.61,2024-10-23,13.55,2025-02-26,12.84,7.454401268834276,1.8239492466296523,XU100,2024-08-14,2024-09-05,2024-09-26,-13.703124226370244,-5.201663613407936,21.15752549520452,7.0256128600375884,True,True,3.540937903227127,3.487746708755893,80426252.14,23059659.676000003,0.6384676775738285,1.0,12.553,42.995169082125614,7.777777777777772,4.647302904564299,-0.1106866684365645,9455176.0,2966196.0,40.2716631274449,80.0,1.055611297172565,70.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,13.37,6.026962727993657,49.15730058919641,-43.130337861202754,False,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,12.61,13.55,12.84,13.37,2024-10-23,2025-02-26
BLUME,volume_spike_strict,2024-09-03,2024-09-03,16.469999,2025-01-07,17.15,2025-03-12,18.1,4.128725205144201,9.896788700472904,XU100,2024-09-18,2024-10-09,2024-10-31,-0.4966173741243973,5.572452054521149,4.625342579268599,4.324336645951755,True,True,2.0579159277653227,2.31232696668416,142343267.487421,61558451.52450001,9.946588785046728,1.0,14.645999950000004,56.15275193108233,16.395752650176675,22.27170749814402,0.0083637647550065,13597578.0,14173444.0,58.86861647280593,100.0,12.40556629317744,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,42.42,157.5592141808873,50.29884851024767,107.26036567063964,True,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,16.469999,17.15,18.1,42.42,2025-01-07,2025-03-12
ARTMS,volume_spike_strict,2024-09-20,2024-09-20,59.45,2025-01-07,30.06,2025-04-02,27.76,-49.436501261564345,-53.30529857022708,XU100,2024-10-02,2024-10-23,2024-11-14,0.7250321961566719,-3.807378601550471,-50.16153345772102,-49.49791996867661,False,False,2.00884137550006,2.1395844900227456,110413690.85,51605202.4890245,4.206836108676604,0.9841269841269852,56.382000600000005,54.33071105875533,7.310469314079437,2.235594076161851,0.1662350193772597,3268449.0,6270941.0,68.98172626694318,100.0,2.9730666013971785,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,43.66,-26.56013456686292,52.14413777429863,-78.70427234116154,False,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,59.45,30.06,27.76,43.66,2025-01-07,2025-04-02
AHGAZ,volume_spike_strict,2024-10-04,2024-10-04,16.2,2024-12-19,19.67,2025-02-18,19.58,21.419753086419767,20.864197530864192,XU100,2024-10-08,2024-10-30,2024-11-20,7.198984778260553,8.865076943005734,14.220768308159217,11.999120587858458,True,True,4.985514053306429,5.694816746039423,435468668.4,76467547.2135,6.789716545814106,0.9217391304347826,14.0255,66.17862371888725,20.805369127516784,23.664122137404583,0.0538420048842743,32388354.0,34954822.0,67.44891573476102,100.0,5.629673093849519,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,28.04,73.08641975308643,65.35391147986572,7.732508273220716,True,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,16.2,19.67,19.58,28.04,2024-12-19,2025-02-18
BMSCH,volume_spike_strict,2024-10-15,2024-10-15,9.23776,2025-01-29,10.399697,2025-04-22,13.2,12.578124999999996,42.89178328945545,XU100,2024-10-17,2024-11-08,2024-11-29,13.731927812828015,5.099488730629886,-1.1538028128280189,37.79229455882556,False,True,4.7839130944763815,5.248417216011855,77576473.60000001,14780927.355266258,8.843537414965974,0.9557522123893808,8.354760085999999,56.03448001539429,16.788321167883204,11.304347826086955,-0.0222633234377304,13872512.124151347,4217691.561590731,71.95707461133057,90.0,7.095482302021927,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,18.81,103.62079118747404,70.00158008193856,33.61921110553547,True,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,9.23776,10.399697,13.2,18.81,2025-01-29,2025-04-22
ASELS,volume_spike_strict,2024-10-23,2024-10-23,61.0,2025-01-28,89.65,2025-04-25,135.3,46.96721311475412,121.80327868852464,XU100,2024-10-25,2024-11-18,2024-12-09,16.146070600331154,8.237355545636138,30.821142514422963,113.5659231428885,True,True,2.0996102068588813,2.151401960405505,4011330476.0,1864519299.4264667,8.92857142857142,0.8690476190476196,59.339999950000006,42.24719740436844,4.006820119352095,5.994788983402066,0.1340073252303733,2193545.0,123567550.0,55.95006371520294,100.0,8.815869525106091,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,428.5,602.4590163934425,72.84206322886986,529.6169531645727,True,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,61.0,89.65,135.3,428.5,2025-01-28,2025-04-25
AGYO,volume_spike_strict,2024-11-07,2024-11-07,7.88,2025-02-12,6.93,2025-05-16,6.23,-12.055837563451776,-20.93908629441624,XU100,2024-11-08,2024-11-29,2024-12-20,9.316207119726627,8.073099764926294,-21.3720446831784,-29.012186059342536,False,False,9.422083388219647,10.06334180226296,105399720.12,10473630.151,10.364145658263311,1.0,7.301999999999998,68.2170542635659,15.542521994134884,10.209790209790205,0.2217927599534736,17411104.0,23674666.0,74.83012226537988,100.0,10.32160619924789,85.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,9.68,22.842639593908626,68.3705691734862,-45.52792957957758,False,2024-07-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,319,90,229,7.88,6.93,6.23,9.68,2025-02-12,2025-05-16
