symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
PAPIL,volume_spike_strict,2026-03-02,2026-03-02,20.48,2026-03-24,15.4,2026-04-14,16.12,-24.8046875,-21.2890625,XU100,2026-03-03,2026-03-25,2026-04-15,-3.118961400164688,6.412276541367246,-21.68572609983531,-27.701339041367245,False,False,4.140519615144028,4.434045118783837,1706846433.28,384941151.3765,7.450157397691504,0.6712328767123287,18.979000000000003,69.57983193277313,6.777893639207511,3.4343434343434343,-0.12222564719141837,109608726.0,65468599.0,54.85161109320999,85.0,10.157440848912936,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,17.06,-16.69921875000001,12.859019228362945,-29.558237978362953,False,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,20.48,15.4,16.12,17.06,2026-03-24,2026-04-14
VERUS,volume_spike_strict,2026-03-02,2026-03-02,264.75,2026-03-24,410.0,2026-04-14,503.5,54.86307837582625,90.17941454202077,XU100,2026-03-03,2026-03-25,2026-04-15,-3.118961400164688,6.412276541367246,57.982039775990934,83.76713800065352,True,True,2.289383428272876,2.3339460782246237,69258070.5,29674237.6125,9.946013289036548,1.0,257.70750000000004,50.73529411764706,7.621951219512191,-0.09433962264151496,-0.13050940228704194,172965.0,-608773.0,46.55582957554106,75.0,12.65329674025798,75.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,516.0,94.90084985835693,12.859019228362945,82.041830629994,True,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,264.75,410.0,503.5,516.0,2026-03-24,2026-04-14
INVES,volume_spike_strict,2026-03-03,2026-03-03,279.75,,,,,,,XU100,2026-03-10,2026-04-01,2026-04-22,,,,,,,2.4270630408566243,2.560678138362959,163950285.0,64026119.7,20.633893919793,1.0,270.1925,49.37965260545906,5.36723163841808,-14.775323686214781,0.02523141046425121,106242.0,74938.0,37.61313694025666,95.0,18.854745479724055,75.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,573.0,104.82573726541555,16.46318833408076,88.3625489313348,True,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,279.75,,,573.0,,
MOPAS,volume_spike_strict,2026-03-04,2026-03-04,62.75,2026-04-30,39.5,,,-37.05179282868526,,XU100,2026-03-10,2026-04-01,2026-04-22,11.584238506890498,,-48.63603133557576,,False,,2.303994271540381,2.8128133165046934,919314231.5,326830872.8865,9.99123575810692,1.0,53.1245,68.38905775075987,18.173258003766477,10.087719298245613,0.16308416881268245,18125531.0,75471604.0,79.3006953534508,100.0,9.507359150529183,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,41.1,-34.50199203187251,16.375097638217472,-50.87708967008999,False,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,62.75,39.5,,41.1,2026-04-30,
TRHOL,volume_spike_strict,2026-03-05,2026-03-05,819.0,2026-03-27,975.0,2026-04-17,1175.0,19.047619047619047,43.46764346764347,XU100,2026-03-06,2026-03-30,2026-04-20,-2.911094409099213,11.537641076143078,21.95871345671826,31.93000239150039,True,True,3.0857113284635136,3.3652993479120688,507862719.0,150911602.95,6.294613887086298,0.9,762.75,62.73653566229986,0.9864364981504226,8.909574468085113,-0.03153090165208791,603221.0,494722.0,69.97600521604566,90.0,5.245877061002457,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,1400.0,70.94017094017093,15.167295795604074,55.772875144566854,True,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,819.0,975.0,1175.0,1400.0,2026-03-27,2026-04-17
TCKRC,volume_spike_strict,2026-03-09,2026-03-09,94.0,2026-03-31,86.85,2026-04-21,104.9,-7.606382978723413,11.595744680851073,XU100,2026-03-10,2026-04-01,2026-04-22,0.7005196032120908,13.174303259329246,-8.306902581935503,-1.578558578478173,False,False,2.3002280921987204,2.428303155190057,386969988.0,159358186.8775,6.515580736543902,1.0,88.81,54.16666666666668,10.588235294117654,4.969290898939138,0.02734770102489191,5516373.0,4170351.0,60.71394380235844,100.0,4.049113533955273,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,111.7,18.829787234042563,18.584868524641784,0.2449187094007783,True,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,94.0,86.85,104.9,111.7,2026-03-31,2026-04-21
ULUUN,volume_spike_strict,2026-03-09,2026-03-09,8.07,2026-03-31,7.57,2026-04-21,8.0,-6.1957868649318515,-0.867410161090465,XU100,2026-03-10,2026-04-01,2026-04-22,0.7005196032120908,13.174303259329246,-6.896306468143942,-14.041713420419711,False,False,2.7861419091347566,3.056427009889614,109469098.08,35816035.431499995,9.945504087193457,1.0,7.334999999999999,56.15942028985507,17.638483965014572,8.760107816711592,-0.04108387109280788,25381909.0,12208397.0,60.97587798100866,90.0,10.65535594929412,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,9.49,17.59603469640645,18.584868524641784,-0.9888338282353359,False,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,8.07,7.57,8.0,9.49,2026-03-31,2026-04-21
OZSUB,volume_spike_strict,2026-03-10,2026-03-10,21.52,2026-04-01,21.18,2026-04-22,23.7,-1.5799256505576231,10.130111524163565,XU100,2026-03-11,2026-04-02,2026-04-24,-1.8053634938151375,8.802162155598081,0.22543784325751437,1.3279493685654842,True,True,6.255211896100025,6.722297755253045,341641341.04,50822107.779,9.908069458631275,1.0,19.884,52.90178571428571,19.22437673130193,11.444847229414812,0.10727183695693462,21096745.0,11755634.0,66.82417231906217,100.0,10.092610035532845,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,29.36,36.431226765799266,14.321093160611852,22.110133605187414,True,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,21.52,21.18,23.7,29.36,2026-04-01,2026-04-22
PRDGS,volume_spike_strict,2026-03-10,2026-03-10,7.46,2026-04-01,7.19,2026-04-22,8.66,-3.6193029490616535,16.08579088471851,XU100,2026-03-11,2026-04-02,2026-04-24,-1.8053634938151375,8.802162155598081,-1.813939455246516,7.283628729120428,False,True,2.0703449015807163,2.156081237541401,148154145.3,68714546.892,9.867452135493382,1.0,7.097500000000001,47.86729857819906,15.123456790123457,-4.358974358974354,0.01638215463052617,17864210.0,22107150.0,48.94246972977992,95.0,7.494957830446203,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,9.28,24.39678284182305,14.321093160611852,10.075689681211198,True,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,7.46,7.19,8.66,9.28,2026-04-01,2026-04-22
TMPOL,volume_spike_strict,2026-03-10,2026-03-10,591.0,2026-04-01,562.5,2026-04-22,670.0,-4.822335025380708,13.367174280879857,XU100,2026-03-11,2026-04-02,2026-04-24,-1.8053634938151375,8.802162155598081,-3.0169715315655705,4.5650121252817755,False,True,13.901736546687415,17.77254922279499,2352535191.0,132369035.05,9.647495361781067,0.9758064516129032,472.075,77.24077328646749,25.744680851063826,20.920716112531967,0.5380605907181999,4986795.0,4651664.0,88.15495589780463,100.0,5.917846487588019,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,355.75,-39.80541455160744,14.321093160611852,-54.12650771221929,False,2026-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,347,136,211,591.0,562.5,670.0,355.75,2026-04-01,2026-04-22
