period_start,symbol,status,baseline_signal,passed_quality_filter,filter_reasons,failed_reasons,return_15d,return_30d,return_to_current,benchmark_return_to_current,elapsed_seconds,error_message,updated_at
2025-07-01,A1CAP,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,36.94466095089635,,-10.054559625876855,30.99801885135125,0.001,,2026-05-25T14:18:03.561817Z
2025-07-01,A1YEN,no_signal,0,0,,,,,,,0.001,,2026-05-25T14:18:03.562022Z
2025-07-01,AAGYO,no_signal,0,0,,,,,,,0.001,,2026-05-25T14:18:03.562225Z
2025-07-01,ACSEL,no_signal,0,0,,,,,,,0.002,,2026-05-25T14:18:03.562389Z
2025-07-01,ADEL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.828043854587439,,28.793998845931924,37.90023858220282,0.002,,2026-05-25T14:18:03.563111Z
2025-07-01,ADESE,no_signal,0,0,,,,,,,0.002,,2026-05-25T14:18:03.563316Z
2025-07-01,ADGYO,no_signal,0,0,,,,,,,0.003,,2026-05-25T14:18:03.563475Z
2025-07-01,AEFES,no_signal,0,0,,,,,,,0.003,,2026-05-25T14:18:03.563639Z
2025-07-01,AFYON,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.881118881118887,3.076923076923066,-4.125874125874129,32.449990459299016,0.004,,2026-05-25T14:18:03.564447Z
2025-07-01,AGESA,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-3.822222222222216,,10.22222222222222,18.158078049056,0.004,,2026-05-25T14:18:03.565185Z
2025-07-01,AGHOL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-10.472972972972984,18.24324324324325,18.44594594594595,38.82677908489987,0.005,,2026-05-25T14:18:03.565898Z
2025-07-01,AGROT,no_signal,0,0,,,,,,,0.005,,2026-05-25T14:18:03.566073Z
2025-07-01,AGYO,no_signal,0,0,,,,,,,0.006,,2026-05-25T14:18:03.566453Z
2025-07-01,AHGAZ,no_signal,0,0,,,,,,,0.006,,2026-05-25T14:18:03.566633Z
2025-07-01,AHSGY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,154.24107142857144,263.3932205360777,270.99144242001387,41.53167459079548,0.007,,2026-05-25T14:18:03.567433Z
2025-07-01,AKBNK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,9.702062643239096,40.10695187165776,14.973262032085554,36.92994529220217,0.007,,2026-05-25T14:18:03.568182Z
2025-07-01,AKCNS,no_signal,0,0,,,,,,,0.007,,2026-05-25T14:18:03.568364Z
2025-07-01,AKENR,no_signal,0,0,,,,,,,0.008,,2026-05-25T14:18:03.568525Z
2025-07-01,AKFGY,no_signal,0,0,,,,,,,0.008,,2026-05-25T14:18:03.568689Z
2025-07-01,AKFIS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,99.71367215461702,5.044527975563673,0.009,,2026-05-25T14:18:03.569415Z
2025-07-01,AKFYE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,7.785032646911105,,18.03114013058764,9.173054510242771,0.009,,2026-05-25T14:18:03.570121Z
2025-07-01,AKGRT,no_signal,0,0,,,,,,,0.009,,2026-05-25T14:18:03.570314Z
2025-07-01,AKHAN,no_signal,0,0,,,,,,,0.01,,2026-05-25T14:18:03.570471Z
2025-07-01,AKMGY,no_signal,0,0,,,,,,,0.01,,2026-05-25T14:18:03.570629Z
2025-07-01,AKSA,no_signal,0,0,,,,,,,0.01,,2026-05-25T14:18:03.570784Z
2025-07-01,AKSEN,no_signal,0,0,,,,,,,0.027,,2026-05-25T14:18:03.587452Z
2025-07-01,AKSGY,no_signal,0,0,,,,,,,0.027,,2026-05-25T14:18:03.587642Z
2025-07-01,AKSUE,no_signal,0,0,,,,,,,0.027,,2026-05-25T14:18:03.587810Z
2025-07-01,AKYHO,no_signal,0,0,,,,,,,0.027,,2026-05-25T14:18:03.587979Z
2025-07-01,ALARK,no_signal,0,0,,,,,,,0.027,,2026-05-25T14:18:03.588138Z
2025-07-01,ALBRK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.257142857142871,,2.2857142857142687,12.345458939215836,0.028,,2026-05-25T14:18:03.589189Z
2025-07-01,ALCAR,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-23.19148936170212,,-14.04255319148936,18.158078049056,0.029,,2026-05-25T14:18:03.590054Z
2025-07-01,ALCTL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-10.166666666666668,12.83333333333334,8.333333333333325,32.491349115736234,0.031,,2026-05-25T14:18:03.591694Z
2025-07-01,ALFAS,no_signal,0,0,,,,,,,0.031,,2026-05-25T14:18:03.591870Z
2025-07-01,ALGYO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,29.26391382405744,18.62044905612532,0.032,,2026-05-25T14:18:03.592544Z
2025-07-01,ALKA,no_signal,0,0,,,,,,,0.032,,2026-05-25T14:18:03.592701Z
2025-07-01,ALKIM,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-2.82457879088206,-0.594648166501488,1.288404360753237,38.98895481346831,0.032,,2026-05-25T14:18:03.593356Z
2025-07-01,ALKLC,no_signal,0,0,,,,,,,0.033,,2026-05-25T14:18:03.593514Z
2025-07-01,ALTNY,no_signal,0,0,,,,,,,0.033,,2026-05-25T14:18:03.593657Z
2025-07-01,ALVES,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-27.474310438074635,-10.76257436452137,-7.787993510005409,32.449990459299016,0.033,,2026-05-25T14:18:03.594300Z
2025-07-01,ANELE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,247.89440603394087,16.42295060933523,0.034,,2026-05-25T14:18:03.594917Z
2025-07-01,ANGEN,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.380338436744573,7.735697018533427,7.735697018533427,40.79703649142421,0.035,,2026-05-25T14:18:03.595562Z
