symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
ADGYO,volume_spike_strict,2024-01-24,2024-01-24,32.860001,2024-03-21,30.48,2024-06-04,25.74,-7.242851270759232,-21.66768345503093,XU100,2024-01-25,2024-02-15,2024-03-07,12.975074626742057,28.101448888275083,-20.21792589750129,-49.76913234330601,False,False,3.240516704655401,3.136847229624072,377831454.978218,120449428.14237668,5.659167202572335,1.0,32.160000100000005,44.13203760438719,5.863401872957397,16.11308184145164,0.1016308055102867,10293641.0,13684585.0,54.29067667027188,100.0,5.803706458456492,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,62.0,88.67923954110654,86.16779574791178,2.5114437931947577,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,32.860001,30.48,25.74,62.0,2024-03-21,2024-06-04
ADEL,volume_spike_strict,2024-01-30,2024-01-30,39.818142,2024-05-09,68.0453865,2024-08-08,46.7726805,70.89041095890411,17.465753424657528,XU100,2024-01-31,2024-02-21,2024-03-13,21.1731971059131,19.166187630038767,49.71721385299101,-1.700434205381239,True,False,3.3005321688587466,3.556187817038108,271744398.00000024,76414523.63624929,15.796430931923332,0.722627737226277,37.6926897165,44.31465808108467,16.800000000000015,5.098980203959225,-0.2371730829008871,7757218.757218778,12044308.044308096,64.85324762821622,90.0,15.355036872714354,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,44.64,12.109701150797036,77.74506868402271,-65.63536753322568,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,39.818142,68.0453865,46.7726805,44.64,2024-05-09,2024-08-08
AGHOL,volume_spike_strict,2024-02-01,2024-02-01,23.57,2024-05-13,33.725,2024-08-14,36.675,43.08442935935513,55.600339414509946,XU100,2024-02-02,2024-02-23,2024-03-15,16.306272451616756,13.703491118519162,26.77815690773837,41.89684829599079,True,True,2.080867365491323,2.3372662987517008,324384010.6,138787784.1618855,2.925764192139746,0.7592592592592607,20.9430002,65.84158415841583,4.616067465601415,24.183350895679663,-0.1654479171096572,12541640.0,35499820.0,63.73915846768568,90.0,2.8660322807309013,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,35.06,48.748408994484514,74.21282408510609,-25.46441509062158,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,23.57,33.725,36.675,35.06,2024-05-13,2024-08-14
AKENR,volume_spike_strict,2024-02-16,2024-02-16,5.6,2024-05-20,21.42,2024-09-02,12.68,282.50000000000006,126.42857142857142,XU100,2024-02-19,2024-03-11,2024-04-01,16.098935993888407,9.294984874319056,266.40106400611165,117.13358655425236,True,True,4.691464948470111,5.433198056916905,116032588.0,21356222.759500004,12.9032258064516,0.7777777777777767,4.743999999999999,65.95744680851064,18.895966029723983,33.33333333333333,-0.1401416145962503,41214710.0,48276678.0,92.56992375988617,80.0,8.997824524791543,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,12.02,114.64285714285714,62.83311512922243,51.80974201363471,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,5.6,21.42,12.68,12.02,2024-05-20,2024-09-02
AGYO,volume_spike_strict,2024-02-19,2024-02-19,10.09,2024-05-21,9.15,2024-09-03,7.15,-9.316154608523286,-29.13776015857285,XU100,2024-02-20,2024-03-12,2024-04-02,18.472858028886098,8.97513031769721,-27.789012637409385,-38.11289047627005,False,False,3.1210039401599112,3.409618486949006,165091692.07999998,48419403.142,9.912854030501084,1.0,9.0815,59.96503496503498,8.029978586723763,8.963282937365014,-0.1075379714467019,16396095.0,1713795.0,66.44789305421102,90.0,10.904930342256224,95.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,9.68,-4.063429137760155,63.78836603004072,-67.85179516780087,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,10.09,9.15,7.15,9.68,2024-05-21,2024-09-03
AEFES,volume_spike_strict,2024-03-21,2024-03-21,15.210001,2024-06-12,22.239999,2024-09-27,20.04,46.2195761854322,31.755415400695885,XU100,2024-04-01,2024-04-26,2024-05-20,11.21161155684771,6.966203748811273,35.00796462858449,24.789211651884614,True,True,2.061851781802424,2.3289216401683634,853936455.04309,366666031.314543,10.618189090909102,0.7882376470588242,13.7915001,62.01860053367869,1.8072424235102025,14.705881243900354,0.2040899675770897,57482030.0,264129780.0,58.54966966867897,100.0,10.592280565276944,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,20.46,34.516756442027855,64.78661011111599,-30.26985366908813,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,15.210001,22.239999,20.04,20.46,2024-06-12,2024-09-27
AKBNK,volume_spike_strict,2024-03-21,2024-03-21,45.040001,2024-06-12,62.200001,2024-09-27,63.55,38.09946629441683,41.09679970921849,XU100,2024-04-01,2024-04-26,2024-05-20,11.21161155684771,6.966203748811273,26.88785473756912,34.13059596040721,True,True,2.026296293682916,2.3303394737069825,8890873407.159492,3815269623.792775,12.207279825791703,0.6845243268146742,39.5790002,68.87583575908796,14.722372120344971,11.485145471032387,-0.1097794671023301,475184070.0,429351652.0,66.24943430234563,80.0,12.181371300159547,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,75.25,67.07370854632086,64.78661011111599,2.287098435204868,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,45.040001,62.200001,63.55,75.25,2024-06-12,2024-09-27
AHGAZ,volume_spike_strict,2024-06-21,2024-06-21,15.17,2024-09-09,15.1,2024-11-29,20.2,-0.4614370468029038,33.15754779169413,XU100,2024-06-27,2024-07-19,2024-08-09,-9.950464936646808,-10.392002495506604,9.489027889843904,43.54955028720073,True,True,2.718994057477981,3.024731598278528,373394380.0,123447111.87350002,10.649161196207135,0.6666666666666666,13.63,57.911392405063296,-8.116293155663246,19.26100628930818,0.1396142989404309,23971408.0,67872250.0,74.314456041622,100.0,10.613917133301843,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,28.04,84.83849703361899,39.83981595638804,44.99868107723096,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,15.17,15.1,20.2,28.04,2024-09-09,2024-11-29
AKCNS,volume_spike_strict,2024-11-08,2024-11-08,163.2,2025-02-19,180.0,2025-05-21,152.8,10.294117647058831,-6.372549019607831,XU100,2024-11-14,2024-12-05,2024-12-26,6.302246532866196,2.3311289714986305,3.991871114192636,-8.703677991106462,True,False,2.8934819114074704,3.03074382222637,196957430.4,64986499.00911651,6.111833550064993,0.6712328767123279,155.5,62.97028969708708,8.799999999999986,4.414587332053732,0.1340966699578463,1862974.0,3974823.0,73.12432196594482,100.0,5.223283528804301,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,203.7,24.81617647058825,63.995048351519145,-39.1788718809309,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,163.2,180.0,152.8,203.7,2025-02-19,2025-05-21
AGESA,volume_spike_strict,2024-11-14,2024-11-14,117.7,2025-02-21,143.4,2025-05-22,148.0,21.83517417162277,25.74341546304161,XU100,2024-12-16,2025-01-07,2025-01-28,1.929213347175596,0.5816088879264214,19.905960824447178,25.1618065751152,True,True,2.0867919935527377,2.213692292701262,93335393.8,42162767.6564331,13.282001924927812,0.7241379310344837,110.5375001,67.07218060250383,17.935871743486985,-1.9166666666666663,0.0478875280789829,2353153.0,3291333.0,68.3884381053411,100.0,12.970023008054056,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,248.0,110.70518266779948,59.89361408514695,50.81156858265253,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,25,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,92,27,65,117.7,143.4,148.0,248.0,2025-02-21,2025-05-22
