period_start,symbol,status,baseline_signal,passed_quality_filter,filter_reasons,failed_reasons,return_15d,return_30d,return_to_current,benchmark_return_to_current,elapsed_seconds,error_message,updated_at
2025-08-01,A1CAP,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,36.94466095089635,,-10.054559625876855,30.99801885135125,0.001,,2026-05-25T14:18:18.535639Z
2025-08-01,A1YEN,no_signal,0,0,,,,,,,0.001,,2026-05-25T14:18:18.535884Z
2025-08-01,AAGYO,no_signal,0,0,,,,,,,0.002,,2026-05-25T14:18:18.536339Z
2025-08-01,ACSEL,no_signal,0,0,,,,,,,0.002,,2026-05-25T14:18:18.536752Z
2025-08-01,ADEL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.828043854587439,,28.793998845931924,37.90023858220282,0.003,,2026-05-25T14:18:18.537867Z
2025-08-01,ADESE,no_signal,0,0,,,,,,,0.004,,2026-05-25T14:18:18.538196Z
2025-08-01,ADGYO,no_signal,0,0,,,,,,,0.004,,2026-05-25T14:18:18.538397Z
2025-08-01,AEFES,no_signal,0,0,,,,,,,0.004,,2026-05-25T14:18:18.538582Z
2025-08-01,AFYON,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.881118881118887,3.076923076923066,-4.125874125874129,32.449990459299016,0.005,,2026-05-25T14:18:18.539504Z
2025-08-01,AGESA,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-3.822222222222216,,10.22222222222222,18.158078049056,0.006,,2026-05-25T14:18:18.540430Z
2025-08-01,AGHOL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-10.472972972972984,18.24324324324325,18.44594594594595,38.82677908489987,0.007,,2026-05-25T14:18:18.541298Z
2025-08-01,AGROT,no_signal,0,0,,,,,,,0.007,,2026-05-25T14:18:18.541529Z
2025-08-01,AGYO,no_signal,0,0,,,,,,,0.007,,2026-05-25T14:18:18.541791Z
2025-08-01,AHGAZ,no_signal,0,0,,,,,,,0.008,,2026-05-25T14:18:18.542005Z
2025-08-01,AHSGY,no_signal,0,0,,,,,,,0.008,,2026-05-25T14:18:18.542210Z
2025-08-01,AKBNK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,9.702062643239096,40.10695187165776,14.973262032085554,36.92994529220217,0.009,,2026-05-25T14:18:18.543040Z
2025-08-01,AKCNS,no_signal,0,0,,,,,,,0.009,,2026-05-25T14:18:18.543284Z
2025-08-01,AKENR,no_signal,0,0,,,,,,,0.009,,2026-05-25T14:18:18.543488Z
2025-08-01,AKFGY,no_signal,0,0,,,,,,,0.009,,2026-05-25T14:18:18.543727Z
2025-08-01,AKFIS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,99.71367215461702,5.044527975563673,0.011,,2026-05-25T14:18:18.545876Z
2025-08-01,AKFYE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,7.785032646911105,,18.03114013058764,9.173054510242771,0.013,,2026-05-25T14:18:18.547210Z
2025-08-01,AKGRT,no_signal,0,0,,,,,,,0.013,,2026-05-25T14:18:18.547447Z
2025-08-01,AKHAN,no_signal,0,0,,,,,,,0.013,,2026-05-25T14:18:18.547665Z
2025-08-01,AKMGY,no_signal,0,0,,,,,,,0.013,,2026-05-25T14:18:18.547862Z
2025-08-01,AKSA,no_signal,0,0,,,,,,,0.014,,2026-05-25T14:18:18.548044Z
2025-08-01,AKSEN,no_signal,0,0,,,,,,,0.025,,2026-05-25T14:18:18.559024Z
2025-08-01,AKSGY,no_signal,0,0,,,,,,,0.025,,2026-05-25T14:18:18.559272Z
2025-08-01,AKSUE,no_signal,0,0,,,,,,,0.025,,2026-05-25T14:18:18.559479Z
2025-08-01,AKYHO,no_signal,0,0,,,,,,,0.025,,2026-05-25T14:18:18.559668Z
2025-08-01,ALARK,no_signal,0,0,,,,,,,0.025,,2026-05-25T14:18:18.559860Z
