strategy,period_count,active_period_count,empty_period_count,total_signal_count,total_unique_symbol_count,avg_basket_return_15d,avg_basket_return_30d,avg_basket_return_to_latest,median_basket_return_15d,median_basket_return_30d,median_basket_return_to_latest,avg_basket_alpha_15d,avg_basket_alpha_30d,avg_basket_alpha_to_latest,median_basket_alpha_15d,median_basket_alpha_30d,median_basket_alpha_to_latest,positive_period_rate_15d,positive_period_rate_30d,positive_period_rate_to_latest,beat_period_rate_15d,beat_period_rate_30d,beat_period_rate_to_latest,best_period_to_latest,worst_period_to_latest,consistency_score,outlier_period_count
positive_interest,15,1,14,48,48,6.074683916622135,10.752555653924931,18.984639409561357,6.074683916622135,10.752555653924931,18.984639409561357,-0.31153829718934745,-1.7278487288338908,3.315169842466327,-0.31153829718934745,-1.7278487288338908,3.315169842466327,1.0,1.0,1.0,0.0,0.0,1.0,2026-03-01,2026-03-01,66.66666666666667,0
positive_money_flow,15,1,14,21,21,8.576614286363684,13.046982570255873,17.654549534269655,8.576614286363684,13.046982570255873,17.654549534269655,1.0925531704591247,0.5086920605410796,1.9568818377600987,1.0925531704591247,0.5086920605410796,1.9568818377600987,1.0,1.0,1.0,1.0,1.0,1.0,2026-03-01,2026-03-01,100.00000000000001,0
silent_accumulation,15,1,14,7,7,17.664826200396117,33.50525841574397,31.902847948695314,17.664826200396117,33.50525841574397,31.902847948695314,9.274047773942478,19.532257401400663,16.195456328234037,9.274047773942478,19.532257401400663,16.195456328234037,1.0,1.0,1.0,1.0,1.0,1.0,2026-03-01,2026-03-01,100.00000000000001,1
strong_momentum,15,1,14,10,10,13.04857009388542,31.9474333970264,36.154928788089194,13.04857009388542,31.9474333970264,36.154928788089194,4.083790581248193,19.705057725474795,20.343142611223346,4.083790581248193,19.705057725474795,20.343142611223346,1.0,1.0,1.0,1.0,1.0,1.0,2026-03-01,2026-03-01,100.00000000000001,1
volume_spike_strict,15,1,14,31,31,4.757320332630124,16.641958764420785,25.450558657267358,4.757320332630124,16.641958764420785,25.450558657267358,-1.6437399259590606,4.680129389915134,9.447905651603758,-1.6437399259590606,4.680129389915134,9.447905651603758,1.0,1.0,1.0,0.0,1.0,1.0,2026-03-01,2026-03-01,83.33333333333334,0
