period_start,period_end,effective_as_of_date,strategy,symbol,signal_date,entry_price,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_latest,exit_price_to_latest,return_to_latest,benchmark_return_to_latest,alpha_to_latest,beat_xu100_to_latest,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2026-03-01,2026-04-01,2026-05-09,positive_interest,PETKM,2026-03-05,18.4,2026-03-30,20.5,11.413043478260887,-1.301199658245522,12.71424313650641,True,2026-04-20,22.48,22.173913043478265,13.226961082045307,8.946951961432958,True,2026-05-08 09:00:00,24.72,34.34782608695652,15.167295795604074,19.180530291352447,True,60.0,1.719287172802893,1.8064349651987548,0.6634615384615368,3.80289234065343,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,BSOKE,2026-03-06,32.7,2026-03-31,32.4,-0.9174311926605672,0.7005196032120908,-1.617950795872658,False,2026-04-21,35.2,7.645259938837912,13.174303259329246,-5.5290433204913345,False,2026-05-08 09:00:00,39.5,20.795107033639137,17.743091627250006,3.052015406389131,True,95.0,2.048473294818679,2.2901879133457648,1.0,9.946595460614137,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,GLRMK,2026-03-06,155.6,2026-03-31,181.7,16.77377892030849,0.7005196032120908,16.0732593170964,True,2026-04-21,219.1,40.80976863753214,13.174303259329246,27.63546537820289,True,2026-05-08 09:00:00,202.6,30.20565552699228,17.743091627250006,12.462563899742275,True,45.0,1.9349832824383453,1.7427886442697476,0.6600000000000023,2.342225113858176,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,MPARK,2026-03-09,445.25,2026-04-01,415.0,-6.793935991016287,-1.8053634938151375,-4.988572497201149,False,2026-04-22,463.0,3.9865244244806197,8.802162155598081,-4.815637731117461,False,2026-05-08 09:00:00,493.75,10.892756878158337,18.584868524641784,-7.692111646483447,False,40.0,1.7171015564984737,1.5723332391831393,0.9139784946236559,0.24125452352230514,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,PASEU,2026-03-09,118.0,2026-04-01,121.4,2.8813559322034,-1.8053634938151375,4.686719426018538,True,2026-04-22,124.9,5.847457627118646,8.802162155598081,-2.954704528479435,False,2026-05-08 09:00:00,103.3,-12.457627118644066,18.584868524641784,-31.04249564328585,False,80.0,3.467248868547085,3.3702451999741774,1.0,8.347529812606469,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,AKSEN,2026-03-10,72.05,2026-04-02,78.6,9.090909090909083,-1.1264069670721466,10.217316057981229,True,2026-04-24,81.25,12.768910478834151,9.156478828639791,3.6124316501943596,True,2026-05-08 09:00:00,86.7,20.333102012491345,14.321093160611852,6.012008851879493,True,65.0,1.6383637756646077,1.713564869081801,1.0,7.31343283582091,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,GENIL,2026-03-10,9.45,2026-04-02,11.06,17.037037037037052,-1.1264069670721466,18.1634440041092,True,2026-04-24,9.95,5.291005291005302,9.156478828639791,-3.8654735376344895,False,2026-05-08 09:00:00,8.6,-8.994708994708988,14.321093160611852,-23.31580215532084,False,87.0,1.843150075341069,2.145138024423744,1.0,9.906759906759909,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,GRTHO,2026-03-10,264.5,2026-04-02,239.8,-9.338374291115304,-1.1264069670721466,-8.211967324043158,False,2026-04-24,250.5,-5.2930056710775,9.156478828639791,-14.449484499717292,False,2026-05-08 09:00:00,253.5,-4.15879017013232,14.321093160611852,-18.479883330744173,False,70.0,2.5614532932238285,2.7217423105766785,0.6133333333333333,5.084067253803037,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,BIMAS,2026-03-11,708.5,2026-04-03,691.0,-2.470007057163015,-2.6325970260693166,0.1625899689063015,True,2026-04-27,752.5,6.21030345800988,9.84403271986103,-3.6337292618511494,False,2026-05-08 09:00:00,790.0,11.503175723359217,14.107699929850504,-2.6045242064912877,False,70.0,1.660016007669146,1.6935142488093542,0.9076923076923077,6.436781609195408,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,CANTE,2026-03-12,1.53,2026-04-06,1.69,10.457516339869265,0.14801881626189672,10.30949752360737,True,2026-04-28,1.78,16.33986928104576,9.443340795375832,6.896528485669929,True,2026-05-08 09:00:00,1.85,20.915032679738577,13.371322854226797,7.54370982551178,True,50.0,1.6295342920348388,1.5326614326235855,0.7272727272727287,5.263157894736836,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,DAPGM,2026-03-12,13.3,2026-04-06,13.7,3.007518796992481,0.14801881626189672,2.8594999807305843,True,2026-04-28,10.5,-21.052631578947366,9.443340795375832,-30.4959723743232,False,2026-05-08 09:00:00,10.4,-21.80451127819549,13.371322854226797,-35.17583413242229,False,65.0,1.7915305423343943,1.8706940924517685,0.8802816901408451,7.993197278911568,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,HEKTS,2026-03-12,2.97,2026-04-06,2.99,0.6734006734006703,0.14801881626189672,0.5253818571387736,True,2026-04-28,3.35,12.794612794612782,9.443340795375832,3.3512719992369497,True,2026-05-08 09:00:00,4.44,49.4949494949495,13.371322854226797,36.123626640722705,True,70.0,2.508011782698911,2.414736699831662,0.9166666666666666,6.896551724137945,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,TUREX,2026-03-12,7.83,2026-04-06,7.9,0.8939974457215838,0.14801881626189672,0.7459786294596871,True,2026-04-28,8.51,8.684546615581091,9.443340795375832,-0.7587941797947408,False,2026-05-08 09:00:00,9.42,20.30651340996168,13.371322854226797,6.935190555734884,True,90.0,4.485468258129804,4.661144166044497,1.0,10.000000000000009,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,TURSG,2026-03-12,13.47,2026-04-06,12.7,-5.716406829992582,0.14801881626189672,-5.864425646254479,False,2026-04-28,13.78,2.3014105419450592,9.443340795375832,-7.141930253430773,False,2026-05-08 09:00:00,14.57,8.16629547141796,13.371322854226797,-5.2050273828088365,False,77.0,1.9590576849745478,2.032107057120227,0.953125000000001,5.048859934853422,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,ENJSA,2026-03-13,119.1,2026-04-07,118.5,-0.5037783375314797,-0.27136497508628565,-0.23241336244519406,False,2026-04-29,122.5,2.854743912678437,10.453803123012628,-7.599059210334191,False,2026-05-08 09:00:00,120.5,1.1754827875734675,15.044149781599693,-13.868666994026224,False,62.0,1.8915080697143483,2.0856190886221713,0.75,1.1774600504625754,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,RALYH,2026-03-13,141.0,2026-04-07,211.0,49.64539007092199,-0.27136497508628565,49.91675504600828,True,2026-04-29,324.25,129.9645390070922,10.453803123012628,119.51073588407958,True,2026-05-08 09:00:00,386.25,173.93617021276597,15.044149781599693,158.8920204311663,True,65.0,4.54780895658418,4.2040908416902925,0.750000000000002,1.157742402315498,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,OBAMS,2026-03-16,7.99,2026-04-08,8.21,2.7534418022528317,2.4152644958237435,0.3381773064290883,True,2026-04-30,8.25,3.254067584480591,9.2676431424767,-6.013575557996109,False,2026-05-08 09:00:00,8.63,8.010012515644572,16.253573435252132,-8.24356091960756,False,55.0,1.7959048724685407,1.7358829927194126,0.7864077669902907,5.882352941176472,,True,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,REEDR,2026-03-16,7.39,2026-04-08,7.44,0.6765899864682012,2.4152644958237435,-1.7386745093555422,False,2026-04-30,7.62,3.11231393775373,9.2676431424767,-6.15532920472297,False,2026-05-08 09:00:00,7.86,6.359945872801087,16.253573435252132,-9.893627562451044,False,80.0,2.1632745314430095,2.277374748967589,1.0,9.983633387888702,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,AGHOL,2026-03-17,29.0,2026-04-09,29.06,0.2068965517241228,4.375633333409579,-4.168736781685456,False,2026-05-04,31.86,9.862068965517246,9.565135839294015,0.2969331262232302,True,2026-05-08 09:00:00,35.06,20.896551724137936,13.959039462534806,6.93751226160313,True,27.0,1.503828116497056,1.3561990888916156,0.8333333333333363,1.7482517482517501,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,KUYAS,2026-03-17,77.3,2026-04-09,85.8,10.996119016817584,4.375633333409579,6.620485683408005,True,2026-05-04,82.05,6.144890038809825,9.565135839294015,-3.4202458004841905,False,2026-05-08 09:00:00,87.8,13.583441138421737,13.959039462534806,-0.3755983241130689,False,70.0,1.7980771626949845,1.9180066221686272,0.8115942028985513,6.927921623512945,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,GRSEL,2026-03-18,324.0,2026-04-10,318.25,-1.7746913580246937,7.863979300598123,-9.638670658622816,False,2026-05-05,300.5,-7.253086419753085,11.098107562087488,-18.351193981840574,False,2026-05-08 09:00:00,330.25,1.9290123456790154,14.849414378660386,-12.920402032981372,False,37.0,1.5544529900172364,1.4642623017856404,1.0,1.5290519877675823,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,ISMEN,2026-03-19,46.06,2026-04-13,43.62,-5.297438124185849,6.761385037848866,-12.058823162034715,False,2026-05-06,43.02,-6.600086843247932,13.284088285683037,-19.88417512893097,False,2026-05-08 09:00:00,42.42,-7.902735562310026,15.44277467634192,-23.345510238651947,False,50.0,1.7273445353758168,1.7207290851815278,1.0,3.753351206434319,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,ECILC,2026-03-23,115.2,2026-04-14,99.95,-13.237847222222221,9.838083983492862,-23.075931205715083,False,2026-05-07,87.4,-24.131944444444443,16.319132941897085,-40.451077386341524,False,2026-05-08 09:00:00,91.05,-20.963541666666675,14.3868999161614,-35.350441582828076,False,75.0,2.147644341380901,2.2179420998991364,0.9270833333333331,3.7165082108902237,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,ENKAI,2026-03-23,93.7,2026-04-14,104.6,11.632870864461031,9.838083983492862,1.7947868809681697,True,2026-05-07,111.4,18.89007470651014,16.319132941897085,2.570941764613057,True,2026-05-08 09:00:00,111.3,18.783351120597636,14.3868999161614,4.396451204436236,True,60.0,1.6007029006408082,1.6268031766477935,0.9838709677419364,4.787520172135551,,True,True
2026-03-01,2026-04-01,2026-05-09,positive_interest,KCHOL,2026-03-23,189.5,2026-04-14,206.3,8.865435356200525,9.838083983492862,-0.9726486272923367,False,2026-05-07,211.5,11.609498680738795,16.319132941897085,-4.709634261158289,False,2026-05-08 09:00:00,213.0,12.401055408970985,14.3868999161614,-1.985844507190416,False,35.0,1.9421276374243592,1.9218950604295768,0.9374999999999978,0.35989717223650075,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,KLRHO,2026-03-23,111.6,2026-04-14,109.5,-1.8817204301075252,9.838083983492862,-11.719804413600386,False,2026-05-07,122.4,9.677419354838722,16.319132941897085,-6.641713587058362,False,2026-05-08 09:00:00,134.6,20.60931899641578,14.3868999161614,6.2224190802543795,True,60.0,3.7341174306200005,2.062469912559385,0.6547085201793726,2.684563758389258,,False,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,ODAS,2026-03-23,6.09,2026-04-14,6.75,10.83743842364533,9.838083983492862,0.9993544401524677,True,2026-05-07,8.05,32.18390804597702,16.319132941897085,15.864775104079936,True,2026-05-08 09:00:00,8.17,34.15435139573071,14.3868999161614,19.767451479569306,True,70.0,2.2335768838607786,2.3254840829148176,0.7560975609756085,3.1509121061359835,,True,True
