period_start,period_end,effective_as_of_date,strategy,basket_mode,signal_count,unique_symbol_count,basket_return_15d,basket_return_30d,benchmark_return_15d,benchmark_return_30d,basket_alpha_15d,basket_alpha_30d,basket_return_to_latest,benchmark_return_to_latest,basket_alpha_to_latest,avg_return_15d,avg_return_30d,avg_return_to_latest,median_return_15d,median_return_30d,median_return_to_latest,trimmed_mean_return_15d,trimmed_mean_return_30d,trimmed_mean_return_to_latest,avg_alpha_15d,avg_alpha_30d,avg_alpha_to_latest,median_alpha_15d,median_alpha_30d,median_alpha_to_latest,positive_rate_15d,positive_rate_30d,positive_rate_to_latest,beat_rate_15d,beat_rate_30d,beat_rate_to_latest,valid_return_15d_count,valid_return_30d_count,valid_return_to_latest_count,best_symbol_15d,best_return_15d,worst_symbol_15d,worst_return_15d,best_symbol_30d,best_return_30d,worst_symbol_30d,worst_return_30d,best_symbol_to_latest,best_return_to_latest,worst_symbol_to_latest,worst_return_to_latest,top_1_contribution_30d_pct,top_3_contribution_30d_pct,top_1_contribution_to_latest_pct,top_3_contribution_to_latest_pct,outlier_warning
2025-12-01,2026-01-01,2026-05-09,positive_interest,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2025-12-01,2026-01-01,2026-05-09,positive_money_flow,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2025-12-01,2026-01-01,2026-05-09,silent_accumulation,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2025-12-01,2026-01-01,2026-05-09,strong_momentum,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2025-12-01,2026-01-01,2026-05-09,volume_spike_strict,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-01-01,2026-02-01,2026-05-09,positive_interest,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-01-01,2026-02-01,2026-05-09,positive_money_flow,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-01-01,2026-02-01,2026-05-09,silent_accumulation,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-01-01,2026-02-01,2026-05-09,strong_momentum,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-01-01,2026-02-01,2026-05-09,volume_spike_strict,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-02-01,2026-03-01,2026-05-09,positive_interest,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-02-01,2026-03-01,2026-05-09,positive_money_flow,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-02-01,2026-03-01,2026-05-09,silent_accumulation,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-02-01,2026-03-01,2026-05-09,strong_momentum,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-02-01,2026-03-01,2026-05-09,volume_spike_strict,first_signal_per_symbol,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,False
2026-03-01,2026-04-01,2026-05-09,positive_interest,first_signal_per_symbol,48,48,6.074683916622135,10.752555653924931,6.386222213811482,12.480404382758822,-0.31153829718934745,-1.7278487288338908,18.984639409561357,15.66946956709503,3.315169842466327,6.074683916622135,10.752555653924931,18.984639409561357,3.629679267670405,7.388316151202745,13.288895710453808,5.115071804459646,7.7868584358591795,15.66251468589212,-0.3115382971893475,-1.7278487288338904,3.3151698424663194,-0.03491169676944628,-4.709634261158289,-0.8840739788942953,0.7291666666666666,0.8285714285714286,0.8541666666666666,0.5,0.2857142857142857,0.4583333333333333,48,35,48,RALYH,49.64539007092199,ECILC,-13.237847222222221,RALYH,129.9645390070922,ECILC,-24.131944444444443,RALYH,173.93617021276597,DAPGM,-21.80451127819549,34.5338602521378,53.929561949971514,19.087379721001945,32.0765559721148,False
2026-03-01,2026-04-01,2026-05-09,positive_money_flow,first_signal_per_symbol,21,21,8.576614286363684,13.046982570255873,7.484061115904559,12.538290509714793,1.0925531704591247,0.5086920605410796,17.654549534269655,15.697667696509557,1.9568818377600987,8.576614286363684,13.046982570255873,17.654549534269655,3.6964980544747172,3.541315345699836,9.190556492411472,4.726799877846569,4.7999597575544275,12.233851083586947,1.0925531704591225,0.5086920605410845,1.9568818377601056,-5.864425646254479,-7.141930253430773,-5.2050273828088365,0.6190476190476191,0.6923076923076923,0.7619047619047619,0.38095238095238093,0.23076923076923078,0.38095238095238093,21,13,21,RALYH,75.98376014990632,ECILC,-13.237847222222221,RALYH,140.9431605246721,ECILC,-24.131944444444443,RALYH,141.25546533416616,ECILC,-20.963541666666675,83.09800001984907,103.89216918077177,38.100381531352696,65.01027386140463,False
2026-03-01,2026-04-01,2026-05-09,silent_accumulation,first_signal_per_symbol,7,7,17.664826200396117,33.50525841574397,8.39077842645364,13.973001014343302,9.274047773942478,19.532257401400663,31.902847948695314,15.707391620461278,16.195456328234037,17.664826200396117,33.50525841574397,31.902847948695314,8.865435356200525,11.609498680738795,12.401055408970985,17.66482620039612,33.50525841574397,31.902847948695314,9.274047773942483,19.532257401400663,16.195456328234027,-0.23241336244519406,-4.709634261158289,-1.985844507190416,0.8571428571428571,1.0,0.8571428571428571,0.42857142857142855,0.2,0.42857142857142855,7,5,7,RALYH,49.64539007092199,ENJSA,-0.5037783375314797,RALYH,129.9645390070922,ENJSA,2.854743912678437,RALYH,173.93617021276597,PASEU,-14.202657807308972,77.57859222839033,93.10532338341018,77.88653964708377,96.2196821585251,True
2026-03-01,2026-04-01,2026-05-09,strong_momentum,first_signal_per_symbol,10,10,13.04857009388542,31.9474333970264,8.964779512637227,12.242375671551605,4.083790581248193,19.705057725474795,36.154928788089194,15.811786176865848,20.343142611223346,13.04857009388542,31.9474333970264,36.154928788089194,0.9088363504738184,8.684546615581091,20.450875752599885,7.767176096155431,31.9474333970264,27.93697412375944,4.0837905812481905,19.705057725474795,20.34314261122335,-9.976173218442273,-0.7587941797947408,6.785694594219083,0.6,0.8,0.9,0.4,0.4,0.6,10,5,10,RALYH,75.98376014990632,REEDR,-7.635467980295562,RALYH,140.9431605246721,REEDR,-6.5270935960591085,RALYH,141.25546533416616,REEDR,-3.2019704433497442,88.23441856696431,101.86918192347633,39.06949068053512,72.44295528481598,True
2026-03-01,2026-04-01,2026-05-09,volume_spike_strict,first_signal_per_symbol,31,31,4.757320332630124,16.641958764420785,6.401060258589185,11.961829374505651,-1.6437399259590606,4.680129389915134,25.450558657267358,16.0026530056636,9.447905651603758,4.757320332630124,16.641958764420785,25.450558657267358,0.6734006734006703,8.684546615581091,20.30651340996168,2.09824838523607,10.870847225462626,21.11050799024655,-1.6437399259590608,4.680129389915139,9.447905651603765,-6.329331913487369,-5.5290433204913345,3.052015406389131,0.5161290322580645,0.8095238095238095,0.8709677419354839,0.3225806451612903,0.38095238095238093,0.5161290322580645,31,21,31,RALYH,49.64539007092199,EFOR,-19.037199124726477,RALYH,129.9645390070922,ECILC,-25.885911840968024,RALYH,173.93617021276597,ECILC,-21.30509939498704,37.18785546445075,72.05202465302993,22.046055161188534,39.067321146231585,False
